title,url,result,pdf_url
Analog Defect Injection and Fault Simulation Techniques: A Systematic Literature Review,https://ieeexplore.ieee.org/ielx7/43/6917053/10194295.pdf,fetch_failed:HTTPError,
Analog Defect Injection and Fault Simulation Techniques: A Systematic Literature Review,https://ieeexplore.ieee.org/ielx7/43/6917053/10194295.pdf,fetch_failed:HTTPError,
Efficient Image Processing via Memristive-Based Approximate In-Memory Computing,,doi_or_empty,
Efficient Image Processing via Memristive-Based Approximate In-Memory Computing,https://doi.org/10.1109/tcad.2024.3438113,doi_or_empty,
Heuristic Logic Resynthesis Algorithms at the Core of Peephole Optimization,https://ieeexplore.ieee.org/ielx7/43/6917053/10066519.pdf,fetch_failed:HTTPError,
Heuristic Logic Resynthesis Algorithms at the Core of Peephole Optimization,https://ieeexplore.ieee.org/ielx7/43/6917053/10066519.pdf,fetch_failed:HTTPError,
Gibbon: An Efficient Co-Exploration Framework of NN Model and Processing-In-Memory Architecture,,doi_or_empty,
Gibbon: An Efficient Co-Exploration Framework of NN Model and Processing-In-Memory Architecture,https://doi.org/10.1109/tcad.2023.3262201,doi_or_empty,
Efficient FPGA-Based Sparse Matrix–Vector Multiplication With Data Reuse-Aware Compression,,doi_or_empty,
Efficient FPGA-Based Sparse Matrix–Vector Multiplication With Data Reuse-Aware Compression,https://hdl.handle.net/11250/3136451,no_pdf_found,
CPSAA: Accelerating Sparse Attention Using Crossbar-Based Processing-In-Memory Architecture,https://ieeexplore.ieee.org/ielx7/43/6917053/10374228.pdf,fetch_failed:HTTPError,
CPSAA: Accelerating Sparse Attention Using Crossbar-Based Processing-In-Memory Architecture,https://ieeexplore.ieee.org/ielx7/43/6917053/10374228.pdf,fetch_failed:HTTPError,
Spatz: Clustering Compact RISC-V-Based Vector Units to Maximize Computing Efficiency,,doi_or_empty,
Spatz: Clustering Compact RISC-V-Based Vector Units to Maximize Computing Efficiency,https://arxiv.org/pdf/2309.10137,direct_pdf,https://arxiv.org/pdf/2309.10137
Cost Efficient Flip-Flop Designs With Multiple-Node Upset-Tolerance and Algorithm-Based Verifications,,doi_or_empty,
Cost Efficient Flip-Flop Designs With Multiple-Node Upset-Tolerance and Algorithm-Based Verifications,https://hal-lirmm.ccsd.cnrs.fr/lirmm-04737573/document,no_pdf_found,
FPAX: A Fast Prior Knowledge-Based Framework for DSE in Approximate Configurations,https://ieeexplore.ieee.org/ielx7/43/6917053/10373585.pdf,fetch_failed:HTTPError,
FPAX: A Fast Prior Knowledge-Based Framework for DSE in Approximate Configurations,https://ieeexplore.ieee.org/ielx7/43/6917053/10373585.pdf,fetch_failed:HTTPError,
Secure Run-Time Hardware Trojan Detection Using Lightweight Analytical Models,https://ieeexplore.ieee.org/ielx7/43/6917053/10251968.pdf,fetch_failed:HTTPError,
Secure Run-Time Hardware Trojan Detection Using Lightweight Analytical Models,https://ieeexplore.ieee.org/ielx7/43/6917053/10251968.pdf,fetch_failed:HTTPError,
RAPIDx: High-Performance ReRAM Processing In-Memory Accelerator for Sequence Alignment,,doi_or_empty,
RAPIDx: High-Performance ReRAM Processing In-Memory Accelerator for Sequence Alignment,https://escholarship.org/content/qt2kx7h990/qt2kx7h990.pdf,fetch_failed:HTTPError,
PhGraph: A High-Performance ReRAM-Based Accelerator for Hypergraph Applications,https://ieeexplore.ieee.org/ielx7/43/6917053/10360252.pdf,fetch_failed:HTTPError,
PhGraph: A High-Performance ReRAM-Based Accelerator for Hypergraph Applications,https://ieeexplore.ieee.org/ielx7/43/6917053/10360252.pdf,fetch_failed:HTTPError,
Netwise Detection of Hardware Trojans Using Scalable Convolution of Graph Embedding Clouds,https://ieeexplore.ieee.org/ielx7/43/6917053/10485495.pdf,fetch_failed:HTTPError,
Netwise Detection of Hardware Trojans Using Scalable Convolution of Graph Embedding Clouds,https://ieeexplore.ieee.org/ielx7/43/6917053/10485495.pdf,fetch_failed:HTTPError,
Self-Test Library Generation for In-Field Test of Path Delay Faults,,doi_or_empty,
Self-Test Library Generation for In-Field Test of Path Delay Faults,https://hal.science/hal-04083231,no_pdf_found,
SRAM Periphery Testing Using the Cell-Aware Test Methodology,,doi_or_empty,
SRAM Periphery Testing Using the Cell-Aware Test Methodology,https://hal-lirmm.ccsd.cnrs.fr/lirmm-04808316/document,no_pdf_found,
CNN-Oriented Placement Algorithm for High-Performance Accelerators on Rad-Hard FPGAs,https://ieeexplore.ieee.org/ielx7/43/6917053/10314789.pdf,fetch_failed:HTTPError,
CNN-Oriented Placement Algorithm for High-Performance Accelerators on Rad-Hard FPGAs,https://ieeexplore.ieee.org/ielx7/43/6917053/10314789.pdf,fetch_failed:HTTPError,
Energy-Efficient Spintronic-Based Neuromorphic Computing System Using Current Mode Track and Termination Circuit,,doi_or_empty,
Energy-Efficient Spintronic-Based Neuromorphic Computing System Using Current Mode Track and Termination Circuit,https://pure.au.dk/ws/files/418783639/final_version-r0f63te8t0691ypmps50eeb0to9hy6e3_002_.pdf,direct_pdf,https://pure.au.dk/ws/files/418783639/final_version-r0f63te8t0691ypmps50eeb0to9hy6e3_002_.pdf
Bank on Compute-Near-Memory: Design Space Exploration of Processing-Near-Bank Architectures,,doi_or_empty,
Bank on Compute-Near-Memory: Design Space Exploration of Processing-Near-Bank Architectures,https://infoscience.epfl.ch/bitstreams/88a6c234-d588-4567-8883-2d4aa0889c12/download,direct_pdf,https://infoscience.epfl.ch/server/api/core/bitstreams/88a6c234-d588-4567-8883-2d4aa0889c12/content
Enhancing Delay-Driven LUT Mapping With Boolean Decomposition,,doi_or_empty,
Enhancing Delay-Driven LUT Mapping With Boolean Decomposition,https://doi.org/10.1109/tcad.2024.3457378,doi_or_empty,
DELFINES: Detecting Laser Fault Injection Attacks via Digital Sensors,,doi_or_empty,
DELFINES: Detecting Laser Fault Injection Attacks via Digital Sensors,https://telecom-paris.hal.science/hal-04260842/document,no_pdf_found,
Ulgen: A Runtime Assurance Framework for Programming Safe Cyber–Physical Systems,https://ieeexplore.ieee.org/ielx7/43/6917053/10048006.pdf,fetch_failed:HTTPError,
Ulgen: A Runtime Assurance Framework for Programming Safe Cyber–Physical Systems,https://ieeexplore.ieee.org/ielx7/43/6917053/10048006.pdf,fetch_failed:HTTPError,
Dedicated Instruction Set for Pattern-Based Data Transfers: An Experimental Validation on Systems Containing In-Memory Computing Units,,doi_or_empty,
Dedicated Instruction Set for Pattern-Based Data Transfers: An Experimental Validation on Systems Containing In-Memory Computing Units,https://cea.hal.science/cea-04425231,no_pdf_found,
CRAFT: Criticality-Aware Fault-Tolerance Enhancement Techniques for Emerging Memories-Based Deep Neural Networks,,doi_or_empty,
CRAFT: Criticality-Aware Fault-Tolerance Enhancement Techniques for Emerging Memories-Based Deep Neural Networks,https://arxiv.org/pdf/2302.03862,direct_pdf,https://arxiv.org/pdf/2302.03862
GRAND: A Graph Neural Network Framework for Improved Diagnosis,,doi_or_empty,
GRAND: A Graph Neural Network Framework for Improved Diagnosis,https://doi.org/10.1109/tcad.2023.3336212,doi_or_empty,
An Efficient GCNs Accelerator Using 3D-Stacked Processing-in-Memory Architectures,https://ieeexplore.ieee.org/ielx7/43/6917053/10354068.pdf,fetch_failed:HTTPError,
An Efficient GCNs Accelerator Using 3D-Stacked Processing-in-Memory Architectures,https://ieeexplore.ieee.org/ielx7/43/6917053/10354068.pdf,fetch_failed:HTTPError,
NN2FPGA: Optimizing CNN Inference on FPGAs With Binary Integer Programming,,doi_or_empty,
NN2FPGA: Optimizing CNN Inference on FPGAs With Binary Integer Programming,https://doi.org/10.1109/tcad.2024.3507570,doi_or_empty,
Automated Synthesis of Safe Timing Behaviors for Requirements Models Using CCSL,,doi_or_empty,
Automated Synthesis of Safe Timing Behaviors for Requirements Models Using CCSL,https://inria.hal.science/hal-04178061v1/file/author-version.pdf,no_pdf_found,
TieredHM: Hotspot-Optimized Hash Indexing for Memory-Semantic SSD-Based Hybrid Memory,https://ieeexplore.ieee.org/ielx7/43/6917053/10400899.pdf,fetch_failed:HTTPError,
TieredHM: Hotspot-Optimized Hash Indexing for Memory-Semantic SSD-Based Hybrid Memory,https://ieeexplore.ieee.org/ielx7/43/6917053/10400899.pdf,fetch_failed:HTTPError,
ILPGRC: ILP-Based Global Routing Optimization With Cell Movements,https://ieeexplore.ieee.org/ielx7/43/6917053/10218743.pdf,fetch_failed:HTTPError,
ILPGRC: ILP-Based Global Routing Optimization With Cell Movements,https://ieeexplore.ieee.org/ielx7/43/6917053/10218743.pdf,fetch_failed:HTTPError,
Tradeoff Performance and Energy Efficiency by Optimizing the Data Flow for PIM Architectures,,doi_or_empty,
Tradeoff Performance and Energy Efficiency by Optimizing the Data Flow for PIM Architectures,https://doi.org/10.1109/tcad.2024.3522879,doi_or_empty,
A Highly Reliable Dual-Mode RRAM PUF With Key Concealment Scheme,,doi_or_empty,
A Highly Reliable Dual-Mode RRAM PUF With Key Concealment Scheme,https://pureadmin.qub.ac.uk/ws/files/636894778/A_Highly_Reliable_Dual-Mode_RRAM_PUF_With_Key_Concealment_Scheme.pdf,direct_pdf,https://pureadmin.qub.ac.uk/ws/files/636894778/A_Highly_Reliable_Dual-Mode_RRAM_PUF_With_Key_Concealment_Scheme.pdf
Fanout-Bounded Logic Synthesis for Emerging Technologies,https://ieeexplore.ieee.org/ielx7/43/6917053/10342810.pdf,fetch_failed:HTTPError,
Fanout-Bounded Logic Synthesis for Emerging Technologies,https://ieeexplore.ieee.org/ielx7/43/6917053/10342810.pdf,fetch_failed:HTTPError,
Efficient Modeling Attack on Multiplexer PUFs via Kronecker Matrix Multiplication,,doi_or_empty,
Efficient Modeling Attack on Multiplexer PUFs via Kronecker Matrix Multiplication,https://doi.org/10.1109/tcad.2025.3531336,doi_or_empty,
When Random Is Bad: Selective CRPs for Protecting PUFs Against Modeling Attacks,,doi_or_empty,
When Random Is Bad: Selective CRPs for Protecting PUFs Against Modeling Attacks,https://vbn.aau.dk/ws/files/755415258/acceptedManuscript.pdf,direct_pdf,https://vbn.aau.dk/ws/files/755415258/acceptedManuscript.pdf
The Floating Random Walk Method With Symmetric Multiple-Shooting Walks for Capacitance Extraction,https://ieeexplore.ieee.org/ielx7/43/6917053/10413649.pdf,fetch_failed:HTTPError,
The Floating Random Walk Method With Symmetric Multiple-Shooting Walks for Capacitance Extraction,https://ieeexplore.ieee.org/ielx7/43/6917053/10413649.pdf,fetch_failed:HTTPError,
"Combinatorial-Coding-Based High-Performance Microfluidic Control Multiplexer: Design, Synthesis, and Adaptation",,doi_or_empty,
"Combinatorial-Coding-Based High-Performance Microfluidic Control Multiplexer: Design, Synthesis, and Adaptation",https://doi.org/10.1109/tcad.2024.3442999,doi_or_empty,
MAFIA: Protecting the Microarchitecture of Embedded Systems Against Fault Injection Attacks,,doi_or_empty,
MAFIA: Protecting the Microarchitecture of Embedded Systems Against Fault Injection Attacks,https://arxiv.org/pdf/2309.02255,direct_pdf,https://arxiv.org/pdf/2309.02255
