sentence_id,clause_index,clause_text,clause_type,function,claim_type,claim_strength,evidence_support,risk_words,issue,recommended_action
INTRODUCTION.P3.S4,2,":  a compact sampler configuration becomes biased when a restart-oriented sample-RO lock is imposed, and the baseline restart configuration is restored near balance when the compact sample-RO lock is imposed.",colon_clause,BG,descriptive,low,None,,colon_sentence_split_check,SPLIT_SENTENCE
INTRODUCTION.P5.S2,1,The claim is not,main_clause,BG,descriptive,none,None,,none,KEEP
INTRODUCTION.P5.S2,2,"that  all FPGA {}s behave identically, nor",relative_clause,SETUP,descriptive,none,None,,none,KEEP
INTRODUCTION.P5.S2,3,that  the present evidence is a complete {} validation package.,relative_clause,BG,method,low,None,,none,KEEP
INTRODUCTION.P5.S3,1,The claim is sharper,main_clause,BG,descriptive,none,None,,none,KEEP
INTRODUCTION.P5.S3,2,":  in these measured implementations, sampler-side physical implementation is not passive readout, and a measurement boundary",colon_clause,SETUP,method,low,Experiment setup,,colon_sentence_split_check,SPLIT_SENTENCE
INTRODUCTION.P5.S3,3,that  excludes it would miss a major observed source of restart-behavior variation under the evaluated protocol.,relative_clause,RESULT,method,low,None,,hidden_boundary;colon_sentence_split_check,ADD_BOUNDARY;SPLIT_SENTENCE
INTRODUCTION.P6.S2,1,A restart and warmup analysis showing,main_clause,BG,measurement,none,None,,none,KEEP
INTRODUCTION.P6.S2,2,that  near-balanced continuous-stream statistics do not rule out fixed-position startup bias.,relative_clause,BG,descriptive,low,None,,none,KEEP
INTRODUCTION.P6.S3,1,"A bidirectional primary-board sampler-side counterfactual, with a three-run second-board repeat check, showing",main_clause,BG,measurement,low,None,,multi_claim_sentence,SPLIT_SENTENCE
INTRODUCTION.P6.S3,2,that  a sampler-centered physical perturbation can move restart behavior toward biased outcomes and restore near-balanced behavior in the reverse direction.,relative_clause,BG,descriptive,medium,None,,multi_claim_sentence;implication_without_evidence,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
INTRODUCTION.P6.S4,1,A {}-assisted diagnostic layer,main_clause,BG,descriptive,none,None,,none,KEEP
INTRODUCTION.P6.S4,2,that  constrains a simple persistent pairwise hard-locking explanation under the measured conditions.,relative_clause,RESULT,measurement,low,None,,hidden_boundary,ADD_BOUNDARY
INTRODUCTION.P6.S5,1,"A reduced-XOR counterfactual analysis showing same-data-RO direction anisotropy, warmup-dependent complement cancellation, line-direction controls, second-board original and held-out sampler mechanism checks, and a minimal toolflow/directive sensitivity matrix. {enumerate}",main_clause,BG,comparative,low,None,,none,KEEP
INTRODUCTION.P7.S5,1,"Sections V--IX present continuous-stream placement, restart, sampler-side counterfactual, {}, and reduced-XOR evidence.",main_clause,SETUP,comparative,low,None,,none,KEEP
BACKGROUND_AND_MEASUREMENT_GAP.P1.S1,1,"FPGA {}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits [Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009].",main_clause,SETUP,limitation,low,Citation,,none,KEEP
BACKGROUND_AND_MEASUREMENT_GAP.P1.S2,1,Oscillator-based TRNG work also warns,main_clause,BG,descriptive,none,None,,multi_claim_sentence,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P1.S2,2,"that  test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are examined carefully [Baudet_2011,Bochard_2010].",relative_clause,BG,causal/generalization,medium,Citation,,multi_claim_sentence,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P1.S3,1,"Evaluation may include output statistics, entropy estimates, restart behavior, health-test boundaries, and conditioning documentation [Turan_2018,Lubicz_2015,Lubicz_2024].",main_clause,BG,limitation,medium,Citation,,none,KEEP
BACKGROUND_AND_MEASUREMENT_GAP.P1.S4,1,Prior work further shows,main_clause,RESULT,measurement,medium,None,,multi_claim_sentence;implication_without_evidence,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
BACKGROUND_AND_MEASUREMENT_GAP.P1.S4,2,"that  oscillator-based generators can be sensitive to implementation and environmental conditions, including security-relevant perturbations [Markettos_2009,Fischer_2008].",relative_clause,BG,method,medium,Citation,,multi_claim_sentence,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P2.S2,1,"Compact multi-RO, RO-PUF/TRNG, and DCM/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependence as part of the hardware study [Nannipieri_2021,RojasMunoz_2022,Frustaci_2023].",main_clause,SETUP,method,low,Citation;Experiment setup,some,risk_word,REPLACE_RISK_VERB
BACKGROUND_AND_MEASUREMENT_GAP.P3.S1,1,"These foundations cover RO construction, statistical assessment, standards-oriented entropy-source evaluation, active perturbation, and TDC instrumentation.",main_clause,BG,method,low,None,,none,KEEP
BACKGROUND_AND_MEASUREMENT_GAP.P3.S3,1,A final bitstream is not merely an abstract RTL object,main_clause,BG,descriptive,low,None,,none,KEEP
BACKGROUND_AND_MEASUREMENT_GAP.P3.S3,2,";  it is a routed physical implementation with local interconnect, resource placement, control logic, and measurement readout.",appositive_or_coordinate_clause,SETUP,method,low,Experiment setup,,none,KEEP
BACKGROUND_AND_MEASUREMENT_GAP.P3.S4,1,"If an evaluation records only final output statistics, it may miss",main_clause,BG,descriptive,medium,None,,multi_claim_sentence;implication_without_evidence,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
BACKGROUND_AND_MEASUREMENT_GAP.P3.S4,2,which  physical substructure shaped those statistics.,relative_clause,BG,descriptive,none,None,,multi_claim_sentence,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P3.S5,1,Restart-style measurements sharpen the problem because they compare fixed positions across repeated starts and can expose startup-position effects,main_clause,INTERPRETATION,measurement,medium,Experiment setup,,multi_claim_sentence,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P3.S5,2,that  disappear in aggregate continuous streams [Turan_2018].,relative_clause,BG,descriptive,none,None,,multi_claim_sentence,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P4.S2,1,"FPGA {}s have a substantial instrumentation literature [Jian_Song_2006,Wu_2009,Wu_2012,Wang_2017], but raw bins are not automatically linear timing measurements.",main_clause,SETUP,measurement,low,Citation;Experiment setup,substantial,risk_word,REPLACE_RISK_VERB
BACKGROUND_AND_MEASUREMENT_GAP.P4.S3,1,"In this work, {} data are used conservatively",main_clause,BG,descriptive,none,None,,none,KEEP
BACKGROUND_AND_MEASUREMENT_GAP.P4.S3,2,":  they help test mechanism explanations, especially persistent pairwise hard locking, but they are not used as calibrated picosecond-level jitter metrology.",colon_clause,BG,descriptive,low,None,,colon_sentence_split_check,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P5.S2,1,"Existing {} analysis can separate oscillator source, sampler, post-processing, and validation boundary for modeling or certification.",main_clause,BG,descriptive,medium,None,,implication_without_evidence,ADD_EVIDENCE_ANCHOR
BACKGROUND_AND_MEASUREMENT_GAP.P5.S3,1,The measurements here show,main_clause,RESULT,measurement,medium,Experiment setup,,multi_claim_sentence,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P5.S3,2,"that , for the evaluated implementations, treating the sampler side as passive readout is not a safe measurement abstraction.",relative_clause,SETUP,method,low,Experiment setup,,multi_claim_sentence,SPLIT_SENTENCE
BACKGROUND_AND_MEASUREMENT_GAP.P5.S4,1,"The missing comparison dimension is not simply whether placement affects output quality, but whether a controlled sampler-side physical perturbation changes restart behavior",main_clause,SETUP,causal/generalization,low,None,,none,KEEP
BACKGROUND_AND_MEASUREMENT_GAP.P5.S4,2,while  the measurement boundary is being diagnosed.,subordinate_clause,SETUP,measurement,none,Experiment setup,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P1.S1,1,The evaluated design is an FPGA {} implemented on the Zynq-7020 measurement platform summarized in Table tab,main_clause,SETUP,method,low,Table;Experiment setup,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P1.S3,1,"With the evaluated parameters, the sampled-data vector has 64 bits, formed from eight data ROs sampled across eight sample-RO phases",main_clause,BG,method,low,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P1.S3,2,;  the final output bit is the XOR reduction of,appositive_or_coordinate_clause,BG,descriptive,low,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P1.S3,3,that  vector.,relative_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P2.S1,1,"Operationally, this paper uses ``measured entropy-source boundary'' to mean the set of physical and temporal implementation elements whose controlled or observed variation can materially change measured output behavior under the evaluated protocol.",main_clause,METHOD,causal/generalization,medium,None,,implication_without_evidence;hidden_boundary,ADD_EVIDENCE_ANCHOR;ADD_BOUNDARY
DESIGN_AND_MEASUREMENT_WORKFLOW.P2.S2,1,"that  definition, the boundary is not a certification boundary",main_clause,BG,descriptive,low,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P2.S2,2,;  it is the boundary needed to interpret the hardware measurements.,appositive_or_coordinate_clause,BG,measurement,low,Experiment setup,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P2.S3,1,Figure fig,main_clause,RESULT,descriptive,none,Figure,,multi_claim_sentence,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P2.S3,2,: boundary shows the boundary used here.,colon_clause,RESULT,measurement,medium,None,,multi_claim_sentence;implication_without_evidence;colon_sentence_split_check,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
DESIGN_AND_MEASUREMENT_WORKFLOW.P2.S4,1,"It includes the data ROs, sample RO, sampled-data registers, sampler-side routing and local implementation, and the restart/warmup/reset timing",main_clause,SETUP,method,low,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P2.S4,2,that  directly affects when early samples are taken.,relative_clause,BG,causal/generalization,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P2.S5,1,"FIFO buffering after entropy-bit formation, UART readout, host capture, and offline analysis are outside the entropy source, but they are part of the measurement chain and must be documented for reproducibility.",main_clause,SETUP,measurement,low,Experiment setup,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,1,"{figure}[t] { }{!}{ {tikzpicture}[ font= , block/.style={draw, rounded corners=1.5pt, minimum width=18mm, minimum height=8mm, align=center, fill=softgray}, source/.style={block, fill=softblue}, sampler/.style={block, fill=softorange}, readout/.style={block, fill=softgreen}, arr/.style={-{Stealth[length=2mm]}, thick} ] (data) at (0,0) {8 data ROs\\2-stage loops}",main_clause,RESULT,descriptive,low,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,2,";  (sample) at (2.7,0.95) {9-stage\ RO}",appositive_or_coordinate_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,3,";  (routes) at (2.7,-0.95) {sampler-side\ / placement}",appositive_or_coordinate_clause,SETUP,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,4,";  (regs) at (5.2,0) {64 sampled\ vector}",appositive_or_coordinate_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,5,";  (xor) at (7.6,0) {all64 XOR\ bit}",appositive_or_coordinate_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,6,";  (restart) at (5.2,-1.35) {restart / warmup\ condition}",appositive_or_coordinate_clause,BOUNDARY,limitation,none,None,,hidden_boundary;colon_sentence_split_check,ADD_BOUNDARY;SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,7,";  (fifo) at (10.0,0.45) {FIFO / UART}",appositive_or_coordinate_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,8,";  (host) at (12.2,0.45) {host capture}",appositive_or_coordinate_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,9,";  (analysis) at (11.1,-1.05) {entropy / restart\ analysis}",appositive_or_coordinate_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,10,;  (data) -- (regs),parenthetical_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,11,;  (sample) -- (regs),parenthetical_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,12,;  (routes) -- (regs),parenthetical_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,13,;  (restart) -- (regs),parenthetical_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,14,;  (regs) -- (xor),parenthetical_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,15,;  (xor) -- (fifo),parenthetical_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,16,;  (fifo) -- (host),parenthetical_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,17,;  (host) -- (analysis),parenthetical_clause,BG,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,18,: measured entropy-source boundary}] {},colon_clause,RESULT,measurement,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,19,: measurement/readout chain}] {},colon_clause,SETUP,measurement,none,Experiment setup,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S1,20,;  {tikzpicture}} {Operational measured boundary used in this paper.,appositive_or_coordinate_clause,METHOD,measurement,low,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S2,1,"The sampler side, local physical implementation, and restart/warmup/reset timing",main_clause,BG,method,low,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S2,2,that  directly affects sampling are inside the evaluated entropy-source boundary,relative_clause,BG,causal/generalization,low,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S2,3,";  post-XOR FIFO buffering, UART, host capture, and offline analysis are measurement/readout elements.} fig",appositive_or_coordinate_clause,SETUP,measurement,low,Experiment setup,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P3.S2,4,: boundary {figure},colon_clause,RESULT,descriptive,none,None,,colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P4.S2,1,Figure fig,main_clause,RESULT,descriptive,none,Figure,,multi_claim_sentence,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P4.S2,2,: workflow summarizes the order used in the results,colon_clause,RESULT,measurement,low,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P4.S2,3,:  placement first establishes implementation sensitivity,colon_clause,SETUP,method,none,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P4.S2,4,;  restart exposes fixed-position startup bias,appositive_or_coordinate_clause,BG,descriptive,none,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P4.S2,5,;  sampler-side counterfactuals test the boundary,appositive_or_coordinate_clause,BG,descriptive,none,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P4.S2,6,;  {} diagnostics constrain one simple mechanism explanation,appositive_or_coordinate_clause,BG,descriptive,none,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P4.S2,7,;  and reduced-XOR counterfactuals show same-data-RO direction anisotropy and warmup-dependent cancellation in the final output.,appositive_or_coordinate_clause,RESULT,comparative,medium,None,,multi_claim_sentence;implication_without_evidence;colon_sentence_split_check,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,1,"{figure}[t] { }{!}{ {tikzpicture}[ font= , flowstep/.style={draw, rounded corners=1.5pt, minimum width=24mm, minimum height=8mm, align=center, fill=softgray}, arr/.style={-{Stealth[length=2mm]}, thick} ] (p) {placement\ stream}",main_clause,SETUP,descriptive,low,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,2,;  (r) {restart /\ scan},appositive_or_coordinate_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,3,;  (s) {sampler-side\ },appositive_or_coordinate_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,4,;  (t) {TDC\ },appositive_or_coordinate_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,5,;  (x) {reduced-XOR\ },appositive_or_coordinate_clause,BG,comparative,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,6,;  (b) {boundary\ },appositive_or_coordinate_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,7,;  (p) -- (r),parenthetical_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,8,;  (r) -- (s),parenthetical_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,9,;  (s) -- (t),parenthetical_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,10,;  (t) -- (x),parenthetical_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,11,;  (x) -- (b),parenthetical_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S1,12,;  {tikzpicture}} {Evidence workflow.,appositive_or_coordinate_clause,BG,descriptive,none,None,,none,KEEP
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S2,1,The sampler-side counterfactual is the central boundary test,main_clause,BG,descriptive,none,None,,multi_claim_sentence,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S2,2,";  the other measurements establish context, constrain mechanisms, and explain how final-output statistics can hide internal structure.} fig",appositive_or_coordinate_clause,BG,measurement,medium,Experiment setup,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
DESIGN_AND_MEASUREMENT_WORKFLOW.P5.S2,3,: workflow {figure},colon_clause,RESULT,descriptive,none,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P1.S1,1,Table tab,main_clause,RESULT,descriptive,none,Table,,none,KEEP
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P1.S1,2,: setup records the platform and capture configuration,colon_clause,SETUP,descriptive,none,Experiment setup,,colon_sentence_split_check,SPLIT_SENTENCE
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P1.S1,3,that  are fixed or recoverable from archived measurement artifacts.,relative_clause,SETUP,measurement,low,Experiment setup,,colon_sentence_split_check,SPLIT_SENTENCE
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P1.S2,1,that  vary across experiments are reported at the result table rather than treated as a single global constant.,main_clause,RESULT,measurement,low,Experiment setup,,none,KEEP
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P2.S1,1,{table}[t] {Experimental platform and capture configuration.} tab,main_clause,SETUP,descriptive,none,Experiment setup,,none,KEEP
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P2.S1,2,": setup {tabular}{@{}L{0.35 }L{0.57 }@{}} Item & Evaluated configuration \\ Board scope & Primary Zynq-7020 lab board, hardware root {20260511\_fpga1\_board1}",colon_clause,SETUP,method,low,Experiment setup,,colon_sentence_split_check,SPLIT_SENTENCE
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P2.S1,3,";  repeated second-board checks, hardware root {20260529\_fpga1\_board2} \\ FPGA part & {xc7z020clg400-2} \\ Tool flow & Vivado 2023.2 in-memory build scripts \\ System clock & Single-ended board clock through clock wizard",appositive_or_coordinate_clause,SETUP,descriptive,low,None,,colon_sentence_split_check,SPLIT_SENTENCE
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P2.S1,4,";  internal UART/control clock 200 MHz \\ UART capture & 115200 baud, 8N1, no flow control",appositive_or_coordinate_clause,BG,descriptive,low,None,,colon_sentence_split_check,SPLIT_SENTENCE
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P2.S1,5,";  host logs use COM3 \\ Entropy RTL & 8 data ROs, 2 data-RO stages, 9 sample-RO stages \\ Sampled vector & 64 sampled bits per output reduction \\ Output combining & XOR reduction of the sampled-data vector \\ Restart rows & 1000 rows in the restart/counterfactual artifacts used here \\ Restart body & 125 packed bytes for 1000 bit positions in the bit-symbol restart rows used here \\ Restart timing & 200000 hold cycles and 200000 settle cycles at the 200 MHz control clock in the auto-restart RTL \\ Warmup unit & FIFO output bytes discarded after settle and before recording the row body \\ Entropy tools & NIST EntropyAssessment non-IID and restart tools on prepared bit-symbol inputs \\ {} windows & 12 pair captures, 16 windows per capture",appositive_or_coordinate_clause,BG,descriptive,low,None,,colon_sentence_split_check,SPLIT_SENTENCE
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P2.S1,6,";  packet-offset lag scan from $-8$ to $+8$ \\ Repeats & 10 MiB continuous-stream, 5 MiB, 20 MiB, and counterfactual repeats where listed in the measurement artifacts \\ {tabular} {table}",appositive_or_coordinate_clause,SETUP,measurement,low,Experiment setup,,colon_sentence_split_check,SPLIT_SENTENCE
EXPERIMENTAL_SETUP_AND_ANALYSIS_RULES.P3.S1,1,The restart analysis is used diagnostically,main_clause,BG,descriptive,none,None,,none,KEEP
