section_id,subsection_id,paragraph_id,sentence_id,sentence_text,sentence_position,dominant_function,secondary_function,previous_sentence_relation,next_sentence_relation,claim_type,claim_strength,evidence_anchor,citation_anchor,figure_table_anchor,technical_terms,hedging_words,risk_words,punctuation_pattern,sentence_skeleton,expected_topvenue_role,mismatch_type,revision_operation
Introduction,,INTRODUCTION.P1,INTRODUCTION.P1.S5,It is also where the physical entropy-source boundary should be drawn.,5,BG,,jumps,,descriptive,low,None,None,None,entropy,,,hyphen_count=1,X is also where the physical entropy-source boundary should be drawn.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump,ADD_BRIDGE
Introduction,,INTRODUCTION.P2,INTRODUCTION.P2.S1,"The objective is not to certify a new TRNG architecture, but to diagnose the physical and temporal measurement boundary needed to interpret restart behavior in an implemented FPGA {}.",1,SETUP,,none,,method,low,Experiment setup,None,None,FPGA;TRNG;restart,,,comma_count=1,"X objective is not to certify a new X architecture, but to diagnose the physical and temporal measurement boundary needed to interpret restart behavior in an im",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P3,INTRODUCTION.P3.S1,This question matters because a sampler is often treated as a readout mechanism around an oscillator source.,1,INTERPRETATION,,none,,descriptive,low,None,None,None,sampler,,,,X question matters because a sampler is often treated as a readout mechanism around an oscillator source.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,ADD_BOUNDARY
Introduction,,INTRODUCTION.P3,INTRODUCTION.P3.S2,"That abstraction is useful for design, but it can fail as a measurement boundary.",2,SETUP,,jumps,,method,medium,Experiment setup,None,None,,can,,comma_count=1,"X abstraction is useful for design, but it can fail as a measurement boundary.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump,ADD_BRIDGE
Introduction,,INTRODUCTION.P3,INTRODUCTION.P3.S3,"In the measurements reported here, a placement that is near balanced in a continuous stream still shows warmup-dependent fixed-position restart bias.",3,SETUP,,jumps,,measurement,medium,Experiment setup,None,None,restart,,,hyphen_count=2; comma_count=1,"X the measurements reported here, a placement that is near balanced in a continuous stream still shows warmup-dependent fixed-position restart bias.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump,ADD_BRIDGE
Introduction,,INTRODUCTION.P3,INTRODUCTION.P3.S4,"More importantly, small locked changes to the sample-RO physical implementation move restart behavior in both directions: a compact sampler configuration becomes biased when a restart-oriented sample-RO lock is imposed, and the baseline restart configuration is restored near balance when the compact sample-RO lock is imposed.",4,BG,,elaborates,,causal/generalization,low,None,None,None,RO;restart;sampler,,small,hyphen_count=4; colon_count=1; comma_count=2,"X importantly, small locked changes to the sample-X physical implementation move restart behavior in both directions: a compact sampler configuration becomes bi",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,risk_word,REPLACE_RISK_VERB
Introduction,,INTRODUCTION.P3,INTRODUCTION.P3.S5,"The novelty is not placement dependence alone, but the use of bidirectional sampler-side physical counterfactuals to test the measured entropy-source boundary.",5,SETUP,,elaborates,,measurement,low,None,None,None,entropy;sampler,,,hyphen_count=2; comma_count=1,"X novelty is not placement dependence alone, but the use of bidirectional sampler-side physical counterfactuals to test the measured entropy-source boundary.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P4,INTRODUCTION.P4.S1,"{quote} When an FPGA {} is evaluated from hardware measurements, must the sampler-side physical implementation be included in the measured entropy-source boundary? {quote}",1,SETUP,,none,,method,low,Experiment setup,None,None,FPGA;entropy;sampler,evaluated,,hyphen_count=2; question_mark_count=1; comma_count=1,"{quote} X an X {} is evaluated from hardware measurements, must the sampler-side physical implementation be included in the measured entropy-source boundary? {q",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,punctuation_issue,CHANGE_PUNCTUATION
Introduction,,INTRODUCTION.P5,INTRODUCTION.P5.S1,"For the evaluated Zynq-7020 implementations, the answer is yes.",1,BG,,none,,method,low,None,None,None,,evaluated,,hyphen_count=1; comma_count=1,"X the evaluated X implementations, the answer is yes.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P5,INTRODUCTION.P5.S2,"The claim is not that all FPGA {}s behave identically, nor that the present evidence is a complete {} validation package.",2,SETUP,,jumps,,method,low,None,None,None,FPGA,,,comma_count=1,"X claim is not that all X {}s behave identically, nor that the present evidence is a complete {} validation package.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump,ADD_BRIDGE
Introduction,,INTRODUCTION.P5,INTRODUCTION.P5.S3,"The claim is sharper: in these measured implementations, sampler-side physical implementation is not passive readout, and a measurement boundary that excludes it would miss a major observed source of restart-behavior variation under the evaluated protocol.",3,SETUP,,elaborates,,method,low,Experiment setup,None,None,restart;sampler,evaluated;under,,hyphen_count=2; colon_count=1; comma_count=2,"X claim is sharper: in these measured implementations, sampler-side physical implementation is not passive readout, and a measurement boundary that excludes it ",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P6,INTRODUCTION.P6.S1,{enumerate} A placement-sensitive continuous-stream characterization showing repeatable output-quality differences across implemented FPGA placements.,1,SETUP,,none,,method,low,None,None,None,FPGA,,,hyphen_count=3,{enumerate} X placement-sensitive continuous-stream characterization showing repeatable output-quality differences across implemented X placements.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P6,INTRODUCTION.P6.S2,A restart and warmup analysis showing that near-balanced continuous-stream statistics do not rule out fixed-position startup bias.,2,BG,,elaborates,,measurement,low,None,None,None,restart,,,hyphen_count=3,X restart and warmup analysis showing that near-balanced continuous-stream statistics do not rule out fixed-position startup bias.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P6,INTRODUCTION.P6.S3,"A bidirectional primary-board sampler-side counterfactual, with a three-run second-board repeat check, showing that a sampler-centered physical perturbation can move restart behavior toward biased outcomes and restore near-balanced behavior in the reverse direction.",3,BG,,elaborates,,measurement,medium,None,None,None,restart;sampler,can,,hyphen_count=6; comma_count=2,"X bidirectional primary-board sampler-side counterfactual, with a three-run second-board repeat check, showing that a sampler-centered physical perturbation can",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,unsupported_claim,ADD_EVIDENCE_ANCHOR
Introduction,,INTRODUCTION.P6,INTRODUCTION.P6.S4,A {}-assisted diagnostic layer that constrains a simple persistent pairwise hard-locking explanation under the measured conditions.,4,RESULT,,jumps,,measurement,low,None,None,None,,under,,hyphen_count=2,X holds under Y conditions.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump,ADD_BRIDGE
Introduction,,INTRODUCTION.P6,INTRODUCTION.P6.S5,"A reduced-XOR counterfactual analysis showing same-data-RO direction anisotropy, warmup-dependent complement cancellation, line-direction controls, second-board original and held-out sampler mechanism checks, and a minimal toolflow/directive sensitivity matrix. {enumerate}",5,BG,,jumps,,comparative,low,None,None,None,RO;sampler,,,hyphen_count=7; slash_count=1; comma_count=4,"X reduced-X counterfactual analysis showing same-data-X direction anisotropy, warmup-dependent complement cancellation, line-direction controls, second-board or",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump;punctuation_issue,ADD_BRIDGE;SPLIT_SENTENCE
Introduction,,INTRODUCTION.P7,INTRODUCTION.P7.S1,The rest of the paper follows the evidence chain.,1,BG,,none,,descriptive,low,None,None,None,,,,,X rest of the paper follows the evidence chain.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P7,INTRODUCTION.P7.S2,Section II summarizes related work and the measurement gap.,2,GAP,,jumps,,measurement,low,Experiment setup,None,None,,,,,X X summarizes related work and the measurement gap.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump,ADD_BRIDGE
Introduction,,INTRODUCTION.P7,INTRODUCTION.P7.S3,Section III describes the implemented system and workflow.,3,ORGANIZATION,,elaborates,,method,none,None,None,None,,,,,X X describes the implemented system and workflow.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P7,INTRODUCTION.P7.S4,Section IV defines the experimental boundary and analysis rules.,4,ORGANIZATION,,elaborates,,descriptive,low,Experiment setup,None,None,,,,,X X defines the experimental boundary and analysis rules.,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P7,INTRODUCTION.P7.S5,"Sections V--IX present continuous-stream placement, restart, sampler-side counterfactual, {}, and reduced-XOR evidence.",5,SETUP,,jumps,,comparative,low,None,None,None,restart;sampler,,,hyphen_count=4; comma_count=4,"X X present continuous-stream placement, restart, sampler-side counterfactual, {}, and reduced-X evidence.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump;punctuation_issue,ADD_BRIDGE;SPLIT_SENTENCE
Introduction,,INTRODUCTION.P7,INTRODUCTION.P7.S6,"Section X discusses the entropy-source boundary, Section XI lists limitations and future measurements, and Section XII concludes.",6,BOUNDARY,,jumps,,measurement,low,Experiment setup,None,None,entropy,,,hyphen_count=1; comma_count=2,"X X discusses the entropy-source boundary, X X lists limitations and future measurements, and X X concludes.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump,ADD_BRIDGE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P1,BACKGROUND_AND_MEASUREMENT_GAP.P1.S1,"FPGA {}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits [Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009].",1,SETUP,,none,,limitation,low,Citation,"Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009",None,FPGA,,,hyphen_count=1; comma_count=5,"X {}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits [Sunar_2007,Fischer_2008,Wold_2009,",SECTION_SPECIFIC,punctuation_issue,SPLIT_SENTENCE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P1,BACKGROUND_AND_MEASUREMENT_GAP.P1.S2,"Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are examined carefully [Baudet_2011,Bochard_2010].",2,BG,,elaborates,,causal/generalization,medium,Citation,"Baudet_2011,Bochard_2010",None,TRNG,can,,hyphen_count=3; comma_count=1,X X work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are examined,SECTION_SPECIFIC,none,KEEP
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P1,BACKGROUND_AND_MEASUREMENT_GAP.P1.S3,"Evaluation may include output statistics, entropy estimates, restart behavior, health-test boundaries, and conditioning documentation [Turan_2018,Lubicz_2015,Lubicz_2024].",3,BG,,jumps,,limitation,medium,Citation,"Turan_2018,Lubicz_2015,Lubicz_2024",None,entropy;restart,may,,hyphen_count=1; comma_count=6,"X may include output statistics, entropy estimates, restart behavior, health-test boundaries, and conditioning documentation [Turan_2018,Lubicz_2015,Lubicz_2024",SECTION_SPECIFIC,sentence_jump;punctuation_issue,ADD_BRIDGE;SPLIT_SENTENCE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P1,BACKGROUND_AND_MEASUREMENT_GAP.P1.S4,"Prior work further shows that oscillator-based generators can be sensitive to implementation and environmental conditions, including security-relevant perturbations [Markettos_2009,Fischer_2008].",4,RESULT,,jumps,,method,medium,Citation,"Markettos_2009,Fischer_2008",None,,can,,hyphen_count=2; comma_count=2,"X work further shows that oscillator-based generators can be sensitive to implementation and environmental conditions, including security-relevant perturbations",SECTION_SPECIFIC,sentence_jump,ADD_BRIDGE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P2,BACKGROUND_AND_MEASUREMENT_GAP.P2.S1,Recent FPGA TRNG architecture studies reinforce the implementation theme.,1,SETUP,,none,,method,low,None,None,None,FPGA;TRNG,,,,X X X architecture studies reinforce the implementation theme.,SECTION_SPECIFIC,none,KEEP
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P2,BACKGROUND_AND_MEASUREMENT_GAP.P2.S2,"Compact multi-RO, RO-PUF/TRNG, and DCM/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependence as part of the hardware study [Nannipieri_2021,RojasMunoz_2022,Frustaci_2023].",2,SETUP,,jumps,,method,low,Citation;Experiment setup,"Nannipieri_2021,RojasMunoz_2022,Frustaci_2023",None,RO;TRNG,,some,hyphen_count=4; slash_count=2; comma_count=8,"X multi-X, X/X, and X/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependenc",SECTION_SPECIFIC,sentence_jump;risk_word;punctuation_issue,ADD_BRIDGE;REPLACE_RISK_VERB;SPLIT_SENTENCE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P2,BACKGROUND_AND_MEASUREMENT_GAP.P2.S3,"These works motivate careful reporting of FPGA implementation details, but they do not replace a project-specific boundary diagnosis for the particular sampler, restart protocol, and routed implementation studied here.",3,SETUP,,jumps,,method,low,None,None,None,FPGA;restart;sampler,,,hyphen_count=1; comma_count=3,"X works motivate careful reporting of X implementation details, but they do not replace a project-specific boundary diagnosis for the particular sampler, restar",SECTION_SPECIFIC,sentence_jump,ADD_BRIDGE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P3,BACKGROUND_AND_MEASUREMENT_GAP.P3.S1,"These foundations cover RO construction, statistical assessment, standards-oriented entropy-source evaluation, active perturbation, and TDC instrumentation.",1,BG,,none,,method,low,None,None,None,RO;TDC;entropy,,,hyphen_count=2; comma_count=4,"X foundations cover X construction, statistical assessment, standards-oriented entropy-source evaluation, active perturbation, and X instrumentation.",SECTION_SPECIFIC,punctuation_issue,SPLIT_SENTENCE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P3,BACKGROUND_AND_MEASUREMENT_GAP.P3.S2,"They do not, by themselves, close the implementation-level measurement gap addressed here.",2,GAP,,jumps,,method,low,Experiment setup,None,None,,,,hyphen_count=1; comma_count=2,"X do not, by themselves, close the implementation-level measurement gap addressed here.",SECTION_SPECIFIC,sentence_jump,ADD_BRIDGE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P3,BACKGROUND_AND_MEASUREMENT_GAP.P3.S3,"A final bitstream is not merely an abstract RTL object; it is a routed physical implementation with local interconnect, resource placement, control logic, and measurement readout.",3,SETUP,,elaborates,,method,low,Experiment setup,None,None,RTL,,,semicolon_count=1; comma_count=3,"X final bitstream is not merely an abstract X object; it is a routed physical implementation with local interconnect, resource placement, control logic, and mea",SECTION_SPECIFIC,punctuation_issue,SPLIT_SENTENCE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P3,BACKGROUND_AND_MEASUREMENT_GAP.P3.S4,"If an evaluation records only final output statistics, it may miss which physical substructure shaped those statistics.",4,BG,,elaborates,,descriptive,medium,None,None,None,,may,,comma_count=1,"X an evaluation records only final output statistics, it may miss which physical substructure shaped those statistics.",SECTION_SPECIFIC,unsupported_claim,ADD_EVIDENCE_ANCHOR
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P3,BACKGROUND_AND_MEASUREMENT_GAP.P3.S5,Restart-style measurements sharpen the problem because they compare fixed positions across repeated starts and can expose startup-position effects that disappear in aggregate continuous streams [Turan_2018].,5,INTERPRETATION,,jumps,,measurement,medium,Experiment setup,None,None,Restart,can,,hyphen_count=2,X measurements sharpen the problem because they compare fixed positions across repeated starts and can expose startup-position effects that disappear in aggrega,SECTION_SPECIFIC,sentence_jump,ADD_BRIDGE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P4,BACKGROUND_AND_MEASUREMENT_GAP.P4.S1,{} instrumentation provides another diagnostic layer.,1,BG,,none,,descriptive,none,None,None,None,,,,,{} instrumentation provides another diagnostic layer.,SECTION_SPECIFIC,none,KEEP
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P4,BACKGROUND_AND_MEASUREMENT_GAP.P4.S2,"FPGA {}s have a substantial instrumentation literature [Jian_Song_2006,Wu_2009,Wu_2012,Wang_2017], but raw bins are not automatically linear timing measurements.",2,SETUP,,elaborates,,measurement,low,Citation;Experiment setup,"Jian_Song_2006,Wu_2009,Wu_2012,Wang_2017",None,FPGA,,substantial,comma_count=4,"X {}s have a substantial instrumentation literature [Jian_Song_2006,Wu_2009,Wu_2012,Wang_2017], but raw bins are not automatically linear timing measurements.",SECTION_SPECIFIC,risk_word;punctuation_issue,REPLACE_RISK_VERB;SPLIT_SENTENCE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P4,BACKGROUND_AND_MEASUREMENT_GAP.P4.S3,"In this work, {} data are used conservatively: they help test mechanism explanations, especially persistent pairwise hard locking, but they are not used as calibrated picosecond-level jitter metrology.",3,BG,,jumps,,descriptive,low,None,None,None,,,,hyphen_count=1; colon_count=1; comma_count=3,"X this work, {} data are used conservatively: they help test mechanism explanations, especially persistent pairwise hard locking, but they are not used as calib",SECTION_SPECIFIC,sentence_jump,ADD_BRIDGE
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P5,BACKGROUND_AND_MEASUREMENT_GAP.P5.S1,The distinction of this paper is the sampler-side boundary evidence.,1,METHOD,,none,,descriptive,low,None,None,None,sampler,,,hyphen_count=1,X distinction of this paper is the sampler-side boundary evidence.,SECTION_SPECIFIC,none,KEEP
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P5,BACKGROUND_AND_MEASUREMENT_GAP.P5.S2,"Existing {} analysis can separate oscillator source, sampler, post-processing, and validation boundary for modeling or certification.",2,BG,,elaborates,,descriptive,medium,None,None,None,sampler,can,,hyphen_count=1; comma_count=3,"X {} analysis can separate oscillator source, sampler, post-processing, and validation boundary for modeling or certification.",SECTION_SPECIFIC,unsupported_claim,ADD_EVIDENCE_ANCHOR
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P5,BACKGROUND_AND_MEASUREMENT_GAP.P5.S3,"The measurements here show that, for the evaluated implementations, treating the sampler side as passive readout is not a safe measurement abstraction.",3,SETUP,,elaborates,,method,medium,Experiment setup,None,None,sampler,evaluated,,comma_count=2,"X measurements here show that, for the evaluated implementations, treating the sampler side as passive readout is not a safe measurement abstraction.",SECTION_SPECIFIC,none,KEEP
Background and Measurement Gap,,BACKGROUND_AND_MEASUREMENT_GAP.P5,BACKGROUND_AND_MEASUREMENT_GAP.P5.S4,"The missing comparison dimension is not simply whether placement affects output quality, but whether a controlled sampler-side physical perturbation changes restart behavior while the measurement boundary is being diagnosed.",4,SETUP,,elaborates,,causal/generalization,low,Experiment setup,None,None,restart;sampler,,,hyphen_count=1; comma_count=1,"X missing comparison dimension is not simply whether placement affects output quality, but whether a controlled sampler-side physical perturbation changes resta",SECTION_SPECIFIC,none,KEEP
Design and Measurement Workflow,,DESIGN_AND_MEASUREMENT_WORKFLOW.P1,DESIGN_AND_MEASUREMENT_WORKFLOW.P1.S1,The evaluated design is an FPGA {} implemented on the Zynq-7020 measurement platform summarized in Table tab:setup.,1,SETUP,,none,,method,low,Table;Experiment setup,None,Table tab:setup.,FPGA,evaluated,,hyphen_count=1; colon_count=1,X evaluated design is an X {} implemented on the X measurement platform summarized in X tab:setup.,SECTION_SPECIFIC,none,KEEP
Design and Measurement Workflow,,DESIGN_AND_MEASUREMENT_WORKFLOW.P1,DESIGN_AND_MEASUREMENT_WORKFLOW.P1.S2,"The core entropy RTL contains eight data ROs, a nine-stage sample RO, sampled-data registers, and a final XOR reduction.",2,BG,,jumps,,descriptive,low,None,None,None,RO;RTL;entropy,,,hyphen_count=2; comma_count=3,"X core entropy X contains eight data X, a nine-stage sample X, sampled-data registers, and a final X reduction.",SECTION_SPECIFIC,sentence_jump,ADD_BRIDGE
Design and Measurement Workflow,,DESIGN_AND_MEASUREMENT_WORKFLOW.P1,DESIGN_AND_MEASUREMENT_WORKFLOW.P1.S3,"With the evaluated parameters, the sampled-data vector has 64 bits, formed from eight data ROs sampled across eight sample-RO phases; the final output bit is the XOR reduction of that vector.",3,BG,,elaborates,,method,low,None,None,None,RO,evaluated,,hyphen_count=2; semicolon_count=1; comma_count=2,"X the evaluated parameters, the sampled-data vector has 64 bits, formed from eight data X sampled across eight sample-X phases; the final output bit is the X re",SECTION_SPECIFIC,punctuation_issue,SPLIT_SENTENCE
