paper_id,title,venue,year,section_type,sentence_count,exact_sequence,collapsed_sequence,archetype_id,archetype_name,function_counts,evidence_quality
01_TCASI:paper_05,Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,TCAS-I,2025,Introduction,8,BG -> BG -> BG -> METHOD -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET,BG -> METHOD -> INTERPRET,INT_A,背景-问题-缺口-任务-贡献型,INTERPRET=4; BG=3; METHOD=1,full_sequence
01_TCASI:paper_05,Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,TCAS-I,2025,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
01_TCASI:paper_06,A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,TCAS-I,2024,Abstract,8,BG -> INTERPRET -> RESULT -> INTERPRET -> RESULT -> RESULT -> RESULT -> BOUNDARY,BG -> INTERPRET -> RESULT -> INTERPRET -> RESULT -> BOUNDARY,ABS_D,结果密集型,RESULT=4; INTERPRET=2; BG=1; BOUNDARY=1,full_sequence
01_TCASI:paper_06,A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_06,A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,TCAS-I,2024,Introduction,10,BG -> BG -> NEED -> INTERPRET -> INTERPRET -> INTERPRET -> RESULT -> INTERPRET -> INTERPRET -> INTERPRET,BG -> NEED -> INTERPRET -> RESULT -> INTERPRET,INT_A,背景-问题-缺口-任务-贡献型,INTERPRET=6; BG=2; NEED=1; RESULT=1,full_sequence
01_TCASI:paper_06,A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,TCAS-I,2024,Results,9,SETUP -> RESULT -> RESULT -> SETUP -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT,SETUP -> RESULT -> SETUP -> RESULT,RES_A,设置-多结果-解释型,RESULT=7; SETUP=2,full_sequence
01_TCASI:paper_07,High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,TCAS-I,2024,Abstract,6,BG -> METHOD -> INTERPRET -> METHOD -> SETUP -> RESULT,BG -> METHOD -> INTERPRET -> METHOD -> SETUP -> RESULT,ABS_A,完整摘要链,METHOD=2; BG=1; INTERPRET=1; RESULT=1; SETUP=1,full_sequence
01_TCASI:paper_07,High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_07,High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,TCAS-I,2024,Introduction,10,BG -> BG -> INTERPRET -> PROBLEM -> INTERPRET -> SETUP -> INTERPRET -> INTERPRET -> INTERPRET -> RESULT,BG -> INTERPRET -> PROBLEM -> INTERPRET -> SETUP -> INTERPRET -> RESULT,INT_A,背景-问题-缺口-任务-贡献型,INTERPRET=5; BG=2; PROBLEM=1; RESULT=1; SETUP=1,full_sequence
01_TCASI:paper_07,High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,TCAS-I,2024,Results,9,ORG -> RESULT -> RESULT -> SETUP -> RESULT -> SETUP -> NEED -> SETUP -> RESULT,ORG -> RESULT -> SETUP -> RESULT -> SETUP -> NEED -> SETUP -> RESULT,RES_B,结构化实验段型,RESULT=4; SETUP=3; NEED=1; ORG=1,full_sequence
01_TCASI:paper_08,ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,TCAS-I,2024,Abstract,5,BG -> RESULT -> INTERPRET -> RESULT -> RESULT,BG -> RESULT -> INTERPRET -> RESULT,ABS_D,结果密集型,RESULT=3; BG=1; INTERPRET=1,full_sequence
01_TCASI:paper_08,ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_08,ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,TCAS-I,2024,Introduction,9,BG -> BG -> PROBLEM -> INTERPRET -> INTERPRET -> GAP -> INTERPRET -> INTERPRET -> INTERPRET,BG -> PROBLEM -> INTERPRET -> GAP -> INTERPRET,INT_C,问题缺口驱动型,INTERPRET=5; BG=2; GAP=1; PROBLEM=1,full_sequence
01_TCASI:paper_08,ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,TCAS-I,2024,Results,10,RESULT -> SETUP -> RESULT -> RESULT -> SETUP -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT,RESULT -> SETUP -> RESULT -> SETUP -> RESULT,RES_A,设置-多结果-解释型,RESULT=8; SETUP=2,full_sequence
01_TCASI:paper_09,Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,TCAS-I,2024,Abstract,7,BG -> INTERPRET -> INTERPRET -> SETUP -> NEED -> RESULT -> RESULT,BG -> INTERPRET -> SETUP -> NEED -> RESULT,ABS_A,完整摘要链,INTERPRET=2; RESULT=2; BG=1; NEED=1; SETUP=1,full_sequence
01_TCASI:paper_09,Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_09,Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,TCAS-I,2024,Introduction,10,BG -> BG -> BG -> METHOD -> METHOD -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET,BG -> METHOD -> INTERPRET,INT_A,背景-问题-缺口-任务-贡献型,INTERPRET=5; BG=3; METHOD=2,full_sequence
01_TCASI:paper_09,Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,TCAS-I,2024,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
01_TCASI:paper_10,"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",TCAS-I,2024,Abstract,9,BG -> RESULT -> INTERPRET -> GAP -> METHOD -> RESULT -> RESULT -> RESULT -> NEED,BG -> RESULT -> INTERPRET -> GAP -> METHOD -> RESULT -> NEED,ABS_A,完整摘要链,RESULT=4; BG=1; GAP=1; INTERPRET=1; METHOD=1; NEED=1,full_sequence
01_TCASI:paper_10,"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_10,"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",TCAS-I,2024,Introduction,9,BG -> BG -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET,BG -> INTERPRET,INT_B,背景解释型,INTERPRET=7; BG=2,full_sequence
01_TCASI:paper_10,"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",TCAS-I,2024,Results,10,RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT,RESULT,RES_C,结果密集型,RESULT=10,full_sequence
02_TCASII:paper_01,CORDIC-Based Computation of Arcsine and Arccosine Functions on FPGA,TCAS-II,2023,Abstract,10,METHOD -> INTERPRET -> INTERPRET -> SETUP -> RESULT -> INTERPRET -> INTERPRET -> RESULT -> INTERPRET -> RESULT,METHOD -> INTERPRET -> SETUP -> RESULT -> INTERPRET -> RESULT -> INTERPRET -> RESULT,ABS_C,方法-验证-结果型,INTERPRET=5; RESULT=3; METHOD=1; SETUP=1,full_sequence
02_TCASII:paper_01,CORDIC-Based Computation of Arcsine and Arccosine Functions on FPGA,TCAS-II,2023,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_01,CORDIC-Based Computation of Arcsine and Arccosine Functions on FPGA,TCAS-II,2023,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_01,CORDIC-Based Computation of Arcsine and Arccosine Functions on FPGA,TCAS-II,2023,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_02,Experimental Demonstration of Non-Stateful In-Memory Logic With 1T1R OxRAM Valence Change Mechanism Memristors,TCAS-II,2023,Abstract,10,NEED -> INTERPRET -> INTERPRET -> RESULT -> METHOD -> RESULT -> INTERPRET -> RESULT -> RESULT -> RESULT,NEED -> INTERPRET -> RESULT -> METHOD -> RESULT -> INTERPRET -> RESULT,ABS_C,方法-验证-结果型,RESULT=5; INTERPRET=3; METHOD=1; NEED=1,full_sequence
02_TCASII:paper_02,Experimental Demonstration of Non-Stateful In-Memory Logic With 1T1R OxRAM Valence Change Mechanism Memristors,TCAS-II,2023,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_02,Experimental Demonstration of Non-Stateful In-Memory Logic With 1T1R OxRAM Valence Change Mechanism Memristors,TCAS-II,2023,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_02,Experimental Demonstration of Non-Stateful In-Memory Logic With 1T1R OxRAM Valence Change Mechanism Memristors,TCAS-II,2023,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_03,A 380 fW Leakage Data Retention Flip-Flop for Short Sleep Periods,TCAS-II,2023,Abstract,10,BG -> RESULT -> RESULT -> RESULT -> RESULT -> PROBLEM -> RESULT -> RESULT -> INTERPRET -> GAP,BG -> RESULT -> PROBLEM -> RESULT -> INTERPRET -> GAP,ABS_D,结果密集型,RESULT=6; BG=1; GAP=1; INTERPRET=1; PROBLEM=1,full_sequence
02_TCASII:paper_03,A 380 fW Leakage Data Retention Flip-Flop for Short Sleep Periods,TCAS-II,2023,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_03,A 380 fW Leakage Data Retention Flip-Flop for Short Sleep Periods,TCAS-II,2023,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_03,A 380 fW Leakage Data Retention Flip-Flop for Short Sleep Periods,TCAS-II,2023,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_04,A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units,TCAS-II,2025,Abstract,10,RESULT -> INTERPRET -> NEED -> RESULT -> METHOD -> INTERPRET -> RESULT -> INTERPRET -> RESULT -> RESULT,RESULT -> INTERPRET -> NEED -> RESULT -> METHOD -> INTERPRET -> RESULT -> INTERPRET -> RESULT,ABS_C,方法-验证-结果型,RESULT=5; INTERPRET=3; METHOD=1; NEED=1,full_sequence
02_TCASII:paper_04,A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units,TCAS-II,2025,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_04,A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units,TCAS-II,2025,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_04,A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units,TCAS-II,2025,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_05,TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering,TCAS-II,2024,Abstract,10,BG -> INTERPRET -> INTERPRET -> SETUP -> METHOD -> INTERPRET -> RESULT -> INTERPRET -> RESULT -> PROBLEM,BG -> INTERPRET -> SETUP -> METHOD -> INTERPRET -> RESULT -> INTERPRET -> RESULT -> PROBLEM,ABS_A,完整摘要链,INTERPRET=4; RESULT=2; BG=1; METHOD=1; PROBLEM=1; SETUP=1,full_sequence
02_TCASII:paper_05,TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering,TCAS-II,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_05,TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering,TCAS-II,2024,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_05,TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering,TCAS-II,2024,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_06,A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications,TCAS-II,2025,Abstract,10,BG -> METHOD -> RESULT -> RESULT -> INTERPRET -> RESULT -> PROBLEM -> RESULT -> INTERPRET -> RESULT,BG -> METHOD -> RESULT -> INTERPRET -> RESULT -> PROBLEM -> RESULT -> INTERPRET -> RESULT,ABS_A,完整摘要链,RESULT=5; INTERPRET=2; BG=1; METHOD=1; PROBLEM=1,full_sequence
02_TCASII:paper_06,A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications,TCAS-II,2025,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_06,A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications,TCAS-II,2025,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_06,A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications,TCAS-II,2025,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_07,Design Automation of Analog and Mixed-Signal Circuits Using Neural Networks - A Tutorial Brief,TCAS-II,2023,Abstract,10,BG -> INTERPRET -> SETUP -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET -> SETUP,BG -> INTERPRET -> SETUP -> INTERPRET -> SETUP,ABS_E,压缩/非典型型,INTERPRET=7; SETUP=2; BG=1,full_sequence
02_TCASII:paper_07,Design Automation of Analog and Mixed-Signal Circuits Using Neural Networks - A Tutorial Brief,TCAS-II,2023,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_07,Design Automation of Analog and Mixed-Signal Circuits Using Neural Networks - A Tutorial Brief,TCAS-II,2023,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_07,Design Automation of Analog and Mixed-Signal Circuits Using Neural Networks - A Tutorial Brief,TCAS-II,2023,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_08,XNOR-Bitcount Operation Exploiting Computing-In-Memory With STT-MRAMs,TCAS-II,2023,Abstract,10,BG -> INTERPRET -> RESULT -> RESULT -> INTERPRET -> RESULT -> PROBLEM -> RESULT -> INTERPRET -> RESULT,BG -> INTERPRET -> RESULT -> INTERPRET -> RESULT -> PROBLEM -> RESULT -> INTERPRET -> RESULT,ABS_D,结果密集型,RESULT=5; INTERPRET=3; BG=1; PROBLEM=1,full_sequence
02_TCASII:paper_08,XNOR-Bitcount Operation Exploiting Computing-In-Memory With STT-MRAMs,TCAS-II,2023,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_08,XNOR-Bitcount Operation Exploiting Computing-In-Memory With STT-MRAMs,TCAS-II,2023,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_08,XNOR-Bitcount Operation Exploiting Computing-In-Memory With STT-MRAMs,TCAS-II,2023,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_09,A Low-Complexity Sensing Scheme for Approximate Matching Content-Addressable Memory,TCAS-II,2023,Abstract,10,BG -> INTERPRET -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT,BG -> INTERPRET -> RESULT,ABS_D,结果密集型,RESULT=8; BG=1; INTERPRET=1,full_sequence
02_TCASII:paper_09,A Low-Complexity Sensing Scheme for Approximate Matching Content-Addressable Memory,TCAS-II,2023,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_09,A Low-Complexity Sensing Scheme for Approximate Matching Content-Addressable Memory,TCAS-II,2023,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_09,A Low-Complexity Sensing Scheme for Approximate Matching Content-Addressable Memory,TCAS-II,2023,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
02_TCASII:paper_10,Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration,TCAS-II,2024,Abstract,9,BG -> INTERPRET -> NEED -> METHOD -> RESULT -> RESULT -> INTERPRET -> RESULT -> RESULT,BG -> INTERPRET -> NEED -> METHOD -> RESULT -> INTERPRET -> RESULT,ABS_A,完整摘要链,RESULT=4; INTERPRET=2; BG=1; METHOD=1; NEED=1,full_sequence
02_TCASII:paper_10,Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration,TCAS-II,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
02_TCASII:paper_10,Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration,TCAS-II,2024,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
02_TCASII:paper_10,Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration,TCAS-II,2024,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
03_TVLSI:paper_01,ReLANCE: A Resource-Efficient Low-Latency Cortical Neural Acceleration Engine,TVLSI,2026,Abstract,10,METHOD -> RESULT -> METHOD -> RESULT -> RESULT -> RESULT -> RESULT -> RESULT -> INTERPRET -> SETUP,METHOD -> RESULT -> METHOD -> RESULT -> INTERPRET -> SETUP,ABS_C,方法-验证-结果型,RESULT=6; METHOD=2; INTERPRET=1; SETUP=1,full_sequence
03_TVLSI:paper_01,ReLANCE: A Resource-Efficient Low-Latency Cortical Neural Acceleration Engine,TVLSI,2026,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
03_TVLSI:paper_01,ReLANCE: A Resource-Efficient Low-Latency Cortical Neural Acceleration Engine,TVLSI,2026,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
03_TVLSI:paper_01,ReLANCE: A Resource-Efficient Low-Latency Cortical Neural Acceleration Engine,TVLSI,2026,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
03_TVLSI:paper_02,Unlimited Vector Processing for Wireless Baseband Based on RISC-V Extension,TVLSI,2025,Abstract,10,RESULT -> GAP -> RESULT -> NEED -> INTERPRET -> INTERPRET -> NEED -> INTERPRET -> INTERPRET -> METHOD,RESULT -> GAP -> RESULT -> NEED -> INTERPRET -> NEED -> INTERPRET -> METHOD,ABS_A,完整摘要链,INTERPRET=4; NEED=2; RESULT=2; GAP=1; METHOD=1,full_sequence
03_TVLSI:paper_02,Unlimited Vector Processing for Wireless Baseband Based on RISC-V Extension,TVLSI,2025,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
03_TVLSI:paper_02,Unlimited Vector Processing for Wireless Baseband Based on RISC-V Extension,TVLSI,2025,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
03_TVLSI:paper_02,Unlimited Vector Processing for Wireless Baseband Based on RISC-V Extension,TVLSI,2025,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
03_TVLSI:paper_03,A 66-Gb/s/5.5-W RISC-V Many-Core Cluster for 5G+ Software-Defined Radio Uplinks,TVLSI,2025,Abstract,10,RESULT -> RESULT -> RESULT -> RESULT -> METHOD -> NEED -> RESULT -> INTERPRET -> RESULT -> RESULT,RESULT -> METHOD -> NEED -> RESULT -> INTERPRET -> RESULT,ABS_C,方法-验证-结果型,RESULT=7; INTERPRET=1; METHOD=1; NEED=1,full_sequence
03_TVLSI:paper_03,A 66-Gb/s/5.5-W RISC-V Many-Core Cluster for 5G+ Software-Defined Radio Uplinks,TVLSI,2025,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
03_TVLSI:paper_03,A 66-Gb/s/5.5-W RISC-V Many-Core Cluster for 5G+ Software-Defined Radio Uplinks,TVLSI,2025,Introduction,1,GAP,GAP,INT_X,部分证据型,GAP=1,partial/notes-derived
