section_type,venue,archetype_id,archetype_name,paper_count,total_papers,share,avg_sentence_count,avg_function_counts,representative_papers,evidence_quality,note
Results,TC,RES_X,部分证据型,4,10,0.40,1.0,RESULT=1.0,04_TC:paper_01; 04_TC:paper_03; 04_TC:paper_08,partial/notes-derived,insufficient_evidence：部分证据型，不用于推断 venue 偏好
Results,TCAD,RES_A,设置-多结果-解释型,2,10,0.20,10.0,RESULT=5.5; SETUP=3.5; ORG=1.0,05_TCAD:paper_06; 05_TCAD:paper_07,full_sequence,minor_pattern：少数样本
Results,TCAD,RES_B,结构化实验段型,1,10,0.10,10.0,RESULT=4.0; SETUP=4.0; ORG=2.0,05_TCAD:paper_09,full_sequence,minor_pattern：少数样本
Results,TCAD,RES_C,结果密集型,1,10,0.10,10.0,RESULT=9.0; ORG=1.0,05_TCAD:paper_04,full_sequence,minor_pattern：少数样本
Results,TCAD,RES_D,短结果链型,1,10,0.10,10.0,SETUP=5.0; RESULT=4.0; PROBLEM=1.0,05_TCAD:paper_03,full_sequence,minor_pattern：少数样本
Results,TCAD,RES_X,部分证据型,5,10,0.50,1.0,RESULT=1.0,05_TCAD:paper_01; 05_TCAD:paper_02; 05_TCAD:paper_05,partial/notes-derived,insufficient_evidence：部分证据型，不用于推断 venue 偏好
Results,TCAS-I,RES_A,设置-多结果-解释型,4,10,0.40,10.0,RESULT=7.2; SETUP=2.2; NEED=0.2; ORG=0.2,01_TCASI:paper_02; 01_TCASI:paper_06; 01_TCASI:paper_07,full_sequence,mixed_preference：混合分布
Results,TCAS-I,RES_C,结果密集型,1,10,0.10,10.0,RESULT=10.0,01_TCASI:paper_10,full_sequence,minor_pattern：少数样本
Results,TCAS-I,RES_D,短结果链型,1,10,0.10,7.0,RESULT=6.0; GAP=1.0,01_TCASI:paper_03,full_sequence,minor_pattern：少数样本
Results,TCAS-I,RES_X,部分证据型,4,10,0.40,1.0,RESULT=1.0,01_TCASI:paper_01; 01_TCASI:paper_04; 01_TCASI:paper_05,partial/notes-derived,insufficient_evidence：部分证据型，不用于推断 venue 偏好
Results,TCAS-II,RES_X,部分证据型,10,10,1.00,1.0,RESULT=1.0,02_TCASII:paper_01; 02_TCASII:paper_02; 02_TCASII:paper_03,partial/notes-derived,insufficient_evidence：部分证据型，不用于推断 venue 偏好
Results,TCHES/CHES,RES_A,设置-多结果-解释型,3,10,0.30,10.0,RESULT=6.0; SETUP=2.3; ORG=1.0; PROBLEM=0.7,06_TCHES_CHES:paper_01; 06_TCHES_CHES:paper_08; 06_TCHES_CHES:paper_10,full_sequence,mixed_preference：混合分布
Results,TCHES/CHES,RES_B,结构化实验段型,3,10,0.30,10.0,RESULT=3.7; PROBLEM=2.3; SETUP=2.3; ORG=1.3; METHOD=0.3,06_TCHES_CHES:paper_02; 06_TCHES_CHES:paper_04; 06_TCHES_CHES:paper_07,full_sequence,mixed_preference：混合分布
Results,TCHES/CHES,RES_X,部分证据型,4,10,0.40,1.0,RESULT=1.0,06_TCHES_CHES:paper_03; 06_TCHES_CHES:paper_05; 06_TCHES_CHES:paper_06,partial/notes-derived,insufficient_evidence：部分证据型，不用于推断 venue 偏好
Results,TVLSI,RES_A,设置-多结果-解释型,1,10,0.10,10.0,RESULT=5.0; SETUP=3.0; ORG=2.0,03_TVLSI:paper_10,full_sequence,minor_pattern：少数样本
Results,TVLSI,RES_X,部分证据型,9,10,0.90,1.0,RESULT=1.0,03_TVLSI:paper_01; 03_TVLSI:paper_02; 03_TVLSI:paper_03,partial/notes-derived,insufficient_evidence：部分证据型，不用于推断 venue 偏好
