sentence_id,sentence_text,model_function,gold_function,model_claim_type,gold_claim_type,model_action,gold_action,notes
INTRODUCTION.P1.S2,"Their measured behavior, however, is inseparable from implementation.",RESULT,,method,,KEEP,,
INTRODUCTION.P1.S3,"Placement, routing, clocking, reset sequencing, sampling, and readout can all affect the final bitstream.",SETUP,,causal/generalization,,ADD_BRIDGE;ADD_EVIDENCE_ANCHOR;SPLIT_SENTENCE,,
INTRODUCTION.P1.S4,"For an implemented FPGA {}, the measurement problem is therefore not only whether the output stream looks random.",NEED,,method,,KEEP,,
INTRODUCTION.P1.S5,It is also where the physical entropy-source boundary should be drawn.,BG,,descriptive,,ADD_BRIDGE,,
INTRODUCTION.P2.S1,"The objective is not to certify a new TRNG architecture, but to diagnose the physical and temporal measurement boundary needed to interpret restart behavior in an implemented FPGA {}.",SETUP,,method,,KEEP,,
INTRODUCTION.P3.S1,This question matters because a sampler is often treated as a readout mechanism around an oscillator source.,INTERPRETATION,,descriptive,,ADD_BOUNDARY,,
INTRODUCTION.P3.S2,"That abstraction is useful for design, but it can fail as a measurement boundary.",SETUP,,method,,ADD_BRIDGE,,
INTRODUCTION.P3.S3,"In the measurements reported here, a placement that is near balanced in a continuous stream still shows warmup-dependent fixed-position restart bias.",SETUP,,measurement,,ADD_BRIDGE,,
INTRODUCTION.P3.S4,"More importantly, small locked changes to the sample-RO physical implementation move restart behavior in both directions: a compact sampler configuration becomes biased when a restart-oriented sample-RO lock is imposed, and the baseline restart configuration is restored near balance when the compact sample-RO lock is imposed.",BG,,causal/generalization,,REPLACE_RISK_VERB,,
INTRODUCTION.P3.S5,"The novelty is not placement dependence alone, but the use of bidirectional sampler-side physical counterfactuals to test the measured entropy-source boundary.",SETUP,,measurement,,KEEP,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P1.S1,Table tab:placement summarizes representative 10 MiB continuous-stream captures from the placement study.,SETUP,,descriptive,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P1.S2,The contrast between {} and {} is the simplest entry point.,BG,,descriptive,,ADD_BRIDGE;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P1.S3,"In the 10 MiB rows, {} has $p_1=0.337316$, absolute bias 0.162684, and bit min-entropy 0.593606.",BG,,descriptive,,ADD_BRIDGE;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P1.S4,"In contrast, {} has $p_1=0.499969$, absolute bias $3.14355 10^{-5}$, and bit min-entropy 0.999909.",BG,,descriptive,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P2.S1,The table also shows why balance alone is insufficient.,GAP,,measurement,,ADD_EVIDENCE_ANCHOR;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P2.S2,"The same-column placement is near balanced by $p_1$ and bit min-entropy, but its adjacent-equal ratio differs from the strongest placements.",SETUP,,descriptive,,ADD_BRIDGE;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P2.S3,This motivates the restart and mechanism measurements: a single continuous-stream statistic cannot define the physical entropy-source boundary.,NEED,,measurement,,ADD_BRIDGE;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P3.S1,{table*}[t] {Representative 10 MiB continuous-stream placement statistics.,SETUP,,descriptive,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P3.S2,Artifact IDs preserve traceability to the experiment logs.} tab:placement {tabular}{llrrrrrl} Paper condition & Artifact ID & Bytes & $p_1$ & Abs. bias & Bit min-H & Adjacent equal & Reading \\ {} & compact & 10 MiB & 0.499948 & 0.000052 & 0.999850 & 0.499939 & near-balanced reference \\ {} & random3 & 10 MiB & 0.499969 & 0.000031 & 0.999909 & 0.500072 & near-balanced stream \\ {} & same\_column & 10 MiB & 0.499930 & 0.000070 & 0.999799 & 0.505980 & balanced $p_1$ with structural warning \\ {} & far & 10 MiB & 0.491508 & 0.008492 & 0.975703 & 0.500726 & biased stream \\ {} & sparse & 10 MiB & 0.464350 & 0.035650 & 0.900637 & 0.506596 & stronger bias and structure \\ {} & random1 & 10 MiB & 0.337316 & 0.162684 & 0.593606 & 0.556740 & poor placement \\ {tabular} {table*},SETUP,,limitation,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P4.S1,Available repeats support placement-level consistency for the current dataset.,SETUP,,descriptive,,ADD_EVIDENCE_ANCHOR;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P4.S2,The summarized measurements report a maximum 10 MiB/repeat bit-min-entropy mean delta of 0.00841786 among paired placement rows.,SETUP,,measurement,,ADD_BRIDGE;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
PLACEMENT_SENSITIVE_CONTINUOUS_STREAM_CHARACTERIZATION.P4.S3,"The continuous-stream placement matrix itself remains primary-board evidence rather than a cross-board placement ranking, but it supports treating the placement differences as measured implementation behavior in the evaluated experiment.",SETUP,,method,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
RESTART_AND_WARMUP_CHARACTERIZATION.P1.S1,{Continuous-Stream Entropy Is Not Enough},BG,,descriptive,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
RESTART_AND_WARMUP_CHARACTERIZATION.P2.S1,"Table tab:sp800summary shows non-IID entropy-assessment summaries for selected bit-symbol inputs. {} has a higher non-IID $H_ {original}$ than {} in the 8,000,000-symbol summary, consistent with its strong continuous-stream balance.",RESULT,,comparative,,KEEP,,
RESTART_AND_WARMUP_CHARACTERIZATION.P2.S2,"However, restart measurements reveal warmup-dependent fixed-position bias for {}.",BG,,measurement,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
RESTART_AND_WARMUP_CHARACTERIZATION.P2.S3,"The relevant measurement question is therefore not simply which continuous stream looks best, but whether the implemented source remains stable under repeated startup measurements.",NEED,,method,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
RESTART_AND_WARMUP_CHARACTERIZATION.P3.S1,"{table}[t] {Selected non-IID entropy-assessment summaries.} tab:sp800summary {tabular}{llcc} Paper condition & Artifact ID & Symbols & $H_ {original}$ \\ reference & original\_fpga1\_run01 & 8,000,000 & 0.877727 \\ {} & random1\_run01 & 8,000,000 & 0.389520 \\ {} & random3\_run01 & 8,000,000 & 0.902345 \\ {tabular} {table}",RESULT,,limitation,,SPLIT_SENTENCE,,
RESTART_AND_WARMUP_CHARACTERIZATION.P4.S1,Table tab:warmup gives the {} restart warmup transition.,RESULT,,descriptive,,KEEP,,
RESTART_AND_WARMUP_CHARACTERIZATION.P4.S2,"Under the evaluated board, placement, and auto-stream restart protocol, no-warmup, warmup 8, and warmup 10 trigger fixed-position diagnostic flags, while warmup settings 11, 12, and 16 do not.",SETUP,,method,,SPLIT_SENTENCE;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
RESTART_AND_WARMUP_CHARACTERIZATION.P4.S3,"Repeated warmup scans place the observed transition at $10 < {WARMUP\_BYTES} 11$, with warmup 11 still a boundary observation rather than a large-margin engineering rule.",RESULT,,measurement,,REPLACE_RISK_VERB,,
CAPTION:fig:boundary,"Operational measured boundary used in this paper. The sampler side, local physical implementation, and restart/warmup/reset timing that directly affects sampling are inside the evaluated entropy-source boundary; post-XOR FIFO buffering, UART, host capture, and offline analysis are measurement/readout elements.",OBJECT -> TAKEAWAY,,caption,,CHECK_CAPTION_BODY_LINK,,
CAPTION:fig:workflow,"Evidence workflow. The sampler-side counterfactual is the central boundary test; the other measurements establish context, constrain mechanisms, and explain how final-output statistics can hide internal structure.",OBJECT,,caption,,CHECK_CAPTION_BODY_LINK,,
CAPTION:tab:setup,Experimental platform and capture configuration.,OBJECT -> CONDITION,,caption,,CHECK_CAPTION_BODY_LINK,,
CAPTION:tab:sp800summary,Selected non-IID entropy-assessment summaries.,OBJECT -> TAKEAWAY,,caption,,CHECK_CAPTION_BODY_LINK,,
CAPTION:tab:warmup,{} restart warmup transition. ``Flag'' means at least one fixed bit position exceeds the displayed MSB-route cutoff $X_ {cutoff}=605$; archived LSB-route checks use $X_ {cutoff}=632$.,OBJECT,,caption,,CHECK_CAPTION_BODY_LINK,,
CAPTION:fig:samplerlock,Sample-RO lock schematic for the counterfactual. Only the listed sample-RO LUT assignments are the intended constraint perturbation in this comparison; implemented local routing and neighborhood effects may still vary.,OBJECT -> TAKEAWAY,,caption,,CHECK_CAPTION_BODY_LINK,,
CAPTION:tab:tdccal,8 MiB {} code-density calibration boundary.,OBJECT,,caption,,CHECK_CAPTION_BODY_LINK,,
CAPTION:fig:reducedxorconstruct,"Reduced-XOR construction. The experiment compares the final all64 output, same-data-RO directions, complements that remove one direction from the final XOR, and line-direction controls that XOR across data ROs at one sampler phase.",OBJECT -> CONDITION,,caption,,CHECK_CAPTION_BODY_LINK,,
CAPTION:fig:reducedxor,Warmup-10 reduced-XOR $p_1$ values for the complete run01 direction map. The left group contains all64 followed by same-data-RO directions; the right group contains complements. Bar patterns distinguish the groups for grayscale viewing.,OBJECT,,caption,,CHECK_CAPTION_BODY_LINK,,
INTRODUCTION.P4.S1,"{quote} When an FPGA {} is evaluated from hardware measurements, must the sampler-side physical implementation be included in the measured entropy-source boundary? {quote}",SETUP,,method,,CHANGE_PUNCTUATION,,
