paper_id,title,venue,year,section_type,unit_index,unit_text_short,function_label,function_chain,confidence,evidence_source,imitate_rule,avoid_rule
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,4,"Aimed at solving non-convex optimization problems, Beyer and Ogier introduced tabu learning into the Hopfield neural network (HNN), which enables the state trajectory to Manuscript received Month xx, 2xxx; revised Month xx, xxxx; accepted Month x, xxxx.",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_01.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,5,"This work was supported in part by the National Natural Science Foundation of China under Grant 62271197, and in part by the Guangdong Basic and Applied Basic Research Foundation under Grant 2024A1515011910.",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_01.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,6,"Quanli Deng, Chunhua Wang, Zekun Deng, and Gang Yang are with the College of Information Science and Engineering, Hunan University, Changsha, 410082, China (Corresponding author: Chunhua Wang, e-mail: wch1227164@hnu.edu.cn).",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_01.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,7,"Chunhua Wang is also with the Greater Bay Area Institute for Innovation, Hunan University, Guangzhou, 511300, China.",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_01.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,8,"Yichuang Sun is with the School of Engineering and Computer Science, University of Hertfordshire, Hatfield AL10 9AB, U.K. climb out of local minima thus performing an efficient search of the energy surface [7].",NEED,GAP/NEED,medium,01_TCASI\metadata\extracted_text_raw\paper_01.txt,??????? gap ??????????????????? Venue cue: full circuit/system closure.,??????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,9,"Dynamical behaviors of tabu learning neurons (TLNs) have attracted attention, prompting a closer examination of the running trajectories of the neural network.",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_01.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,10,"Li et al. took the memory decay rate as a bifurcation parameter and studied the dynamical behaviors of tabu learning neurons, proving that a single TLN can transition between stable and unstable dynamics through the Hopf bifurcation [8].",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_01.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,11,"Xiao and Cao studied the stability of a discrete-time tabu learning single neuron model, finding that Pitchfork, Flip, and Neimark-Sacker bifurcations occur when the bifurcation parameter exceeds a critical value [9].",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_01.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,12,"Bao et al. studied the dynamical behaviors of a non-autonomous TLN by introducing an external input to the TLN, discovering complex neuron firing patterns in their non-autonomous TLN model [10].",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_01.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,1,"—As a lightweight hardware security primitive, physical unclonable functions (PUFs) can provide reliable identity authentication for the Internet of Things (IoT) devices with limited resources.",PROBLEM,PROBLEM,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????/??/?????????? challenging? Venue cue: full circuit/system closure.,???? generic challenge? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,2,Arbiter PUF (APUF) is one of the most wellknown PUF circuits.,INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,3,"However, its hardware implementation has poor reliability on field programmable gate arrays (FPGAs).",PROBLEM,PROBLEM,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????/??/?????????? challenging? Venue cue: full circuit/system closure.,???? generic challenge? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,4,This paper proposed a highly reliable APUF that uses a delay difference quantization strategy (DDQ-APUF).,METHOD,TASK/METHOD,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,?????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,5,"By adding multiple configurable delay units to the two symmetrical paths of the conventional APUF, the delay difference between the two symmetrical paths of APUF can be obtained by collecting the output of APUF under different delay configurations.",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,6,"Compared to conventional APUFs, DDQ-APUF does not use the arbitration result of signal transmission in two symmetric paths as its response, but rather uses the quantified delay difference between the two paths as its response.",GAP,LIMIT/GAP,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????????????????????????? Venue cue: full circuit/system closure.,??? gap ????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,7,A tolerance threshold is adopted in the authentication to accommodate the variations in delay differences due to environmental changes.,INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,8,"Moreover, the modeling attack resistance of DDQ-APUF is evaluated, and a strategy for improving this resistance by incorporating pseudoXOR technique is proposed.",PROBLEM,PROBLEM,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????/??/?????????? challenging? Venue cue: full circuit/system closure.,???? generic challenge? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,9,The circuit was implemented on Xilinx Artix-7 FPGAs and the experimental results show that the reliability achieves 99.95% with non-CRP-discard.,RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,1,"THE progress of the Internet of Things (IoTs), with billions of connected devices, offers assistance to our regular routines.",BG,BG,medium,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,?????????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,2,"With the expansion of the scale of IoTs, information security has become a major challenge for the sustainable development of IoTs.",BG,BG/CONTEXT,medium,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,?????????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,3,"Currently, the security of traditional encryption algorithms, including Advanced Encryption Standard (AES), Data Encryption Algorithm (DES) and Ron Rivest Adi Shamirh Len Adlema (RSA), relies on the confidentiality of the secret key, which means that users ...",BG,BG/CONTEXT,medium,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,?????????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,4,"However, the secret key is commonly stored in a nonvolatile memory (NVM).",PROBLEM,PROBLEM,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????/??/?????????? challenging? Venue cue: full circuit/system closure.,???? generic challenge? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,5,"The secret key can be easily obtained by attackers through physical means, such as invasive attacks and side-channel attacks.",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,6,"To address this, physical unclonable functions (PUFs), as a type of hardware security module This work was partially supported by the Science and Technology Project of Henan Province (232102211076), and partially supported by the EPSRC New Investigator Award ...",NEED,GAP/NEED,medium,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? gap ??????????????????? Venue cue: full circuit/system closure.,??????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,7,"(e-mail: C.Gu@qub.ac.uk) Manuscript received xx xx, xxxx; revised xx xx, xxxx.",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,8,0 0 1 0 - 1 1 1 0 - 1 0 1 0 - 9 1 0 - 8 1 0 - 7 1 0 - 6 1 0 - 5 1 0 - 4 1 0 - 3 1 0 - 2 1 0 - 1 1 0 0 [ 3 2 ] T h i s w o r k C o n v e n t i o n a l A P U F [ 2 0 ] [ 2 4 ] [ 1 8 ] [ 1 6 ] [ 1 5 ] [ 3 1 ] [ 1 9 ] B E R D i s c a r d r a t i o （ % ） Fig.,INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,9,"BER and CRP discard ratio of state-of-the-art strong PUFs. that can effectively resist physical attacks with low overhead, have been widely developed and applied for identification, authentication, and key generation [1].",GAP,PROBLEM/GAP,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????????????????????????? Venue cue: full circuit/system closure.,??? gap ????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,10,"PUF is a hardware security primitive that utilizes the unpredictable changes that occur during silicon chip manufacturing to produce unique challenge-response pairs (CRPs), like a chip’s digital fingerprint.",INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,11,Even the same manufacturer cannot clone two chips with the same CRPs.,INTERPRET,SUPPORT/INTERPRET,low,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????????????????????? Venue cue: full circuit/system closure.,??? observation ? conclusion? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,12,"These CRPs are not stored in the non-volatile memory (NVM) but are generated on each activation, avoiding the problem of keys stored in the NVM that can be obtained by attackers through physical attacks [2].",PROBLEM,PROBLEM,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????????/??/?????????? challenging? Venue cue: full circuit/system closure.,???? generic challenge? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,1,We implemented a 64-bit DDQ-APUF on Xilinx Artix-7 XC7A100T FPGAs.,RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,2,All the configurable delay units in the DDQ-APUF core are implemented by using LUTs [20].,RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,3,"10, the internal structure of an LUT is composed of some SRAMs and several MUXs.",RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,4,"When a series of signals (A1, A2, A3, A4, A5 and A6) are entered, a particular SRAM cell will be selected and wired directly to the output of the LUT.",RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,5,An n-input LUT can be configured to implement any n-input combinational logic function.,SETUP,SETUP/RESULT,medium,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????workload?benchmark?FPGA/ASIC/????????? Venue cue: full circuit/system closure.,??????/??????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,6,"By changing the input signals of the LUT, it is possible to alter its internal signal transmission paths, thereby achieving control over its transmission delay.",SETUP,SETUP/RESULT,medium,01_TCASI\metadata\extracted_text_raw\paper_02.txt,?????workload?benchmark?FPGA/ASIC/????????? Venue cue: full circuit/system closure.,??????/??????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,7,9 1 0 0 1 k 1 0 k 1 0 0 k 0 .,RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,8,0 P r e d i c t i o n a c c u r a c y T r a i n i n g s e t s i z e A P U F D D Q - A P U F d = 3 D D Q - A P U F d = 0 3 X O R A P U F 3 P X O R D D Q - A P U F d = 3 3 P X O R D D Q - A P U F d = 0 (a) 1 0 0 1 k 1 0 k 1 0 0 k 0 .,RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,9,0 P r e d i c t i o n a c c u r a c y T r a i n i n g s e t s i z e A P U F D D Q - A P U F d = 3 D D Q - A P U F d = 0 3 X O R A P U F 3 P X O R D D Q - A P U F d = 3 3 P X O R D D Q - A P U F d = 0 (b) 1 0 0 1 k 1 0 k 1 0 0 k 0 .,RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,10,0 P r e d i c t i o n a c c u r a c y T r a i n i n g s e t s i z e A P U F D D Q - A P U F d = 3 D D Q - A P U F d = 0 3 X O R A P U F 3 P X O R D D Q - A P U F d = 3 3 P X O R D D Q - A P U F d = 0 (c) 1 0 0 1 k 1 0 k 1 0 0 k 0 .,RESULT,SETUP/RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_02.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Abstract,1,—The rapid advancement of energy-efficient parallel ultra-low-power (ULP) µcontrollers units (MCUs) is enabling the development of autonomous nano-sized unmanned aerial vehicles (nano-UAVs).,BG,BG,medium,01_TCASI\metadata\extracted_text_raw\paper_03.txt,?????????????????????????? Venue cue: full circuit/system closure.,?????????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Abstract,2,These sub-10cm drones represent the next generation of unobtrusive robotic helpers and ubiquitous smart sensors.,RESULT,RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_03.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Abstract,3,"However, nano-UAVs face significant power and payload constraints while requiring advanced computing capabilities akin to standard drones, including real-time Machine Learning (ML) performance and the safe co-existence of general-purpose and real-time OSs.",PROBLEM,PROBLEM,high,01_TCASI\metadata\extracted_text_raw\paper_03.txt,?????????/??/?????????? challenging? Venue cue: full circuit/system closure.,???? generic challenge? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Abstract,4,"Although some advanced parallel ULP MCUs offer the necessary ML computing capabilities within the prescribed power limits, they rely on small main memories (<1MB) and µcontroller-class CPUs with no virtualization or security features, and hence only support ...",RESULT,RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_03.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Abstract,5,"In this work, we present Shaheen, a 9mm2 200mW SoC implemented in 22nm FDX technology.",METHOD,TASK/METHOD,high,01_TCASI\metadata\extracted_text_raw\paper_03.txt,?????????????????????????? Venue cue: full circuit/system closure.,?????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Abstract,6,"Differently from state-of-the-art MCUs, Shaheen integrates a Linux-capable RV64 core, compliant with the v1.0 ratified Hypervisor extension and equipped with timing channel protection, along with a low-cost and low-power memory controller exposing up to 512MB ...",RESULT,RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_03.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Abstract,7,"At the same time, it integrates a fully programmable energy- and area-efficient multi-core cluster of RV32 cores optimized for general-purpose DSP as well as reduced- and mixed-precision ML.",RESULT,RESULT,high,01_TCASI\metadata\extracted_text_raw\paper_03.txt,??????? + ?? + baseline/?? + ????? Venue cue: full circuit/system closure.,????????????????? Venue caution: avoid unsupported system-level superiority claims.
