venue_folder,id,title,old_pdf,new_pdf,old_note,new_note
02_TCASII,paper_01,CORDIC-Based Computation of Arcsine and Arccosine Functions on FPGA,pdfs/paper_01.pdf,pdfs/2023_TCASII_cordic_based_computation_of_arcsine_and_arccosine_functions_on_fpga.pdf,notes/paper_01.md,notes/2023_TCASII_cordic_based_computation_of_arcsine_and_arccosine_functions_on_fpga.md
02_TCASII,paper_02,Experimental Demonstration of Non-Stateful In-Memory Logic With 1T1R OxRAM Valence Change Mechanism Memristors,pdfs/paper_02.pdf,pdfs/2023_TCASII_experimental_demonstration_of_non_stateful_in_memory_logic_with_1t1r_oxram_valen.pdf,notes/paper_02.md,notes/2023_TCASII_experimental_demonstration_of_non_stateful_in_memory_logic_with_1t1r_oxram_valen.md
02_TCASII,paper_03,A 380 fW Leakage Data Retention Flip-Flop for Short Sleep Periods,pdfs/paper_03.pdf,pdfs/2023_TCASII_a_380_fw_leakage_data_retention_flip_flop_for_short_sleep_periods.pdf,notes/paper_03.md,notes/2023_TCASII_a_380_fw_leakage_data_retention_flip_flop_for_short_sleep_periods.md
02_TCASII,paper_04,A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units,pdfs/paper_04.pdf,pdfs/2025_TCASII_a_novel_error_metric_for_evaluating_the_error_correction_capability_of_approxima.pdf,notes/paper_04.md,notes/2025_TCASII_a_novel_error_metric_for_evaluating_the_error_correction_capability_of_approxima.md
02_TCASII,paper_05,TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering,pdfs/paper_05.pdf,pdfs/2024_TCASII_tnngen_automated_design_of_neuromorphic_sensory_processing_units_for_time_series.pdf,notes/paper_05.md,notes/2024_TCASII_tnngen_automated_design_of_neuromorphic_sensory_processing_units_for_time_series.md
02_TCASII,paper_06,A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications,pdfs/paper_06.pdf,pdfs/2025_TCASII_a_lightweight_and_hardware_efficient_ntt_fpga_accelerator_for_fhe_applications.pdf,notes/paper_06.md,notes/2025_TCASII_a_lightweight_and_hardware_efficient_ntt_fpga_accelerator_for_fhe_applications.md
02_TCASII,paper_07,Design Automation of Analog and Mixed-Signal Circuits Using Neural Networks - A Tutorial Brief,pdfs/paper_07.pdf,pdfs/2023_TCASII_design_automation_of_analog_and_mixed_signal_circuits_using_neural_networks_a_tu.pdf,notes/paper_07.md,notes/2023_TCASII_design_automation_of_analog_and_mixed_signal_circuits_using_neural_networks_a_tu.md
02_TCASII,paper_08,XNOR-Bitcount Operation Exploiting Computing-In-Memory With STT-MRAMs,pdfs/paper_08.pdf,pdfs/2023_TCASII_xnor_bitcount_operation_exploiting_computing_in_memory_with_stt_mrams.pdf,notes/paper_08.md,notes/2023_TCASII_xnor_bitcount_operation_exploiting_computing_in_memory_with_stt_mrams.md
02_TCASII,paper_09,A Low-Complexity Sensing Scheme for Approximate Matching Content-Addressable Memory,pdfs/paper_09.pdf,pdfs/2023_TCASII_a_low_complexity_sensing_scheme_for_approximate_matching_content_addressable_mem.pdf,notes/paper_09.md,notes/2023_TCASII_a_low_complexity_sensing_scheme_for_approximate_matching_content_addressable_mem.md
02_TCASII,paper_10,Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration,pdfs/paper_10.pdf,pdfs/2024_TCASII_efficient_low_latency_multiplication_architecture_for_nist_trinomials_with_risc.pdf,notes/paper_10.md,notes/2024_TCASII_efficient_low_latency_multiplication_architecture_for_nist_trinomials_with_risc.md
03_TVLSI,paper_01,ReLANCE: A Resource-Efficient Low-Latency Cortical Neural Acceleration Engine,pdfs/paper_01.pdf,pdfs/2026_TVLSI_relance_a_resource_efficient_low_latency_cortical_neural_acceleration_engine.pdf,notes/paper_01.md,notes/2026_TVLSI_relance_a_resource_efficient_low_latency_cortical_neural_acceleration_engine.md
03_TVLSI,paper_02,Unlimited Vector Processing for Wireless Baseband Based on RISC-V Extension,pdfs/paper_02.pdf,pdfs/2025_TVLSI_unlimited_vector_processing_for_wireless_baseband_based_on_risc_v_extension.pdf,notes/paper_02.md,notes/2025_TVLSI_unlimited_vector_processing_for_wireless_baseband_based_on_risc_v_extension.md
03_TVLSI,paper_03,A 66-Gb/s/5.5-W RISC-V Many-Core Cluster for 5G+ Software-Defined Radio Uplinks,pdfs/paper_03.pdf,pdfs/2025_TVLSI_a_66_gb_s_5_5_w_risc_v_many_core_cluster_for_5g_software_defined_radio_uplinks.pdf,notes/paper_03.md,notes/2025_TVLSI_a_66_gb_s_5_5_w_risc_v_many_core_cluster_for_5g_software_defined_radio_uplinks.md
03_TVLSI,paper_04,A Scalable FPGA Architecture With Adaptive Memory Utilization for GEMM-Based Operations,pdfs/paper_04.pdf,pdfs/2025_TVLSI_a_scalable_fpga_architecture_with_adaptive_memory_utilization_for_gemm_based_ope.pdf,notes/paper_04.md,notes/2025_TVLSI_a_scalable_fpga_architecture_with_adaptive_memory_utilization_for_gemm_based_ope.md
03_TVLSI,paper_05,Strassen Multisystolic Array Hardware Architectures,pdfs/paper_05.pdf,pdfs/2025_TVLSI_strassen_multisystolic_array_hardware_architectures.pdf,notes/paper_05.md,notes/2025_TVLSI_strassen_multisystolic_array_hardware_architectures.md
03_TVLSI,paper_06,CapsBeam: Accelerating Capsule Network-Based Beamformer for Ultrasound Nonsteered Plane-Wave Imaging on Field-Programmable Gate Array,pdfs/paper_06.pdf,pdfs/2025_TVLSI_capsbeam_accelerating_capsule_network_based_beamformer_for_ultrasound_nonsteered.pdf,notes/paper_06.md,notes/2025_TVLSI_capsbeam_accelerating_capsule_network_based_beamformer_for_ultrasound_nonsteered.md
03_TVLSI,paper_07,SPEED: A Scalable RISC-V Vector Processor Enabling Efficient Multiprecision DNN Inference,pdfs/paper_07.pdf,pdfs/2024_TVLSI_speed_a_scalable_risc_v_vector_processor_enabling_efficient_multiprecision_dnn_i.pdf,notes/paper_07.md,notes/2024_TVLSI_speed_a_scalable_risc_v_vector_processor_enabling_efficient_multiprecision_dnn_i.md
03_TVLSI,paper_08,Detect and Replace: Efficient Soft Error Protection of FPGA-Based CNN Accelerators,pdfs/paper_08.pdf,pdfs/2024_TVLSI_detect_and_replace_efficient_soft_error_protection_of_fpga_based_cnn_accelerator.pdf,notes/paper_08.md,notes/2024_TVLSI_detect_and_replace_efficient_soft_error_protection_of_fpga_based_cnn_accelerator.md
03_TVLSI,paper_09,High-Throughput Bilinear Pairing Processor for Server-Side FPGA Applications,pdfs/paper_09.pdf,pdfs/2024_TVLSI_high_throughput_bilinear_pairing_processor_for_server_side_fpga_applications.pdf,notes/paper_09.md,notes/2024_TVLSI_high_throughput_bilinear_pairing_processor_for_server_side_fpga_applications.md
03_TVLSI,paper_10,An Energy Efficient Soft SIMD Microarchitecture and Its Application on Quantized CNNs,pdfs/paper_10.pdf,pdfs/2024_TVLSI_an_energy_efficient_soft_simd_microarchitecture_and_its_application_on_quantized.pdf,notes/paper_10.md,notes/2024_TVLSI_an_energy_efficient_soft_simd_microarchitecture_and_its_application_on_quantized.md
04_TC,paper_01,Efficient Error Detection for Matrix Multiplication With Systolic Arrays on FPGAs,pdfs/paper_01.pdf,pdfs/2023_TC_efficient_error_detection_for_matrix_multiplication_with_systolic_arrays_on_fpga.pdf,notes/paper_01.md,notes/2023_TC_efficient_error_detection_for_matrix_multiplication_with_systolic_arrays_on_fpga.md
04_TC,paper_02,Ara2: Exploring Single- and Multi-Core Vector Processing With an Efficient RVV 1.0 Compliant Open-Source Processor,pdfs/paper_02.pdf,pdfs/2024_TC_ara2_exploring_single_and_multi_core_vector_processing_with_an_efficient_rvv_1_0.pdf,notes/paper_02.md,notes/2024_TC_ara2_exploring_single_and_multi_core_vector_processing_with_an_efficient_rvv_1_0.md
04_TC,paper_03,DeepFire2: A Convolutional Spiking Neural Network Accelerator on FPGAs,pdfs/paper_03.pdf,pdfs/2023_TC_deepfire2_a_convolutional_spiking_neural_network_accelerator_on_fpgas.pdf,notes/paper_03.md,notes/2023_TC_deepfire2_a_convolutional_spiking_neural_network_accelerator_on_fpgas.md
04_TC,paper_04,Co-Design of Approximate Multilayer Perceptron for Ultra-Resource Constrained Printed Circuits,pdfs/paper_04.pdf,pdfs/2023_TC_co_design_of_approximate_multilayer_perceptron_for_ultra_resource_constrained_pr.pdf,notes/paper_04.md,notes/2023_TC_co_design_of_approximate_multilayer_perceptron_for_ultra_resource_constrained_pr.md
04_TC,paper_05,Multi-Objective Hardware-Mapping Co-Optimisation for Multi-DNN Workloads on Chiplet-Based Accelerators,pdfs/paper_05.pdf,pdfs/2024_TC_multi_objective_hardware_mapping_co_optimisation_for_multi_dnn_workloads_on_chip.pdf,notes/paper_05.md,notes/2024_TC_multi_objective_hardware_mapping_co_optimisation_for_multi_dnn_workloads_on_chip.md
04_TC,paper_06,FPGA-Accelerated Range-Limited Molecular Dynamics,pdfs/paper_06.pdf,pdfs/2024_TC_fpga_accelerated_range_limited_molecular_dynamics.pdf,notes/paper_06.md,notes/2024_TC_fpga_accelerated_range_limited_molecular_dynamics.md
04_TC,paper_07,Fast Inner-Product Algorithms and Architectures for Deep Neural Network Accelerators,pdfs/paper_07.pdf,pdfs/2023_TC_fast_inner_product_algorithms_and_architectures_for_deep_neural_network_accelera.pdf,notes/paper_07.md,notes/2023_TC_fast_inner_product_algorithms_and_architectures_for_deep_neural_network_accelera.md
04_TC,paper_08,TOP: Towards Open & Predictable Heterogeneous SoCs,pdfs/paper_08.pdf,pdfs/2024_TC_top_towards_open_and_predictable_heterogeneous_socs.pdf,notes/paper_08.md,notes/2024_TC_top_towards_open_and_predictable_heterogeneous_socs.md
04_TC,paper_09,An FPGA-Based Open-Source Hardware-Software Framework for Side-Channel Security Research,pdfs/paper_09.pdf,pdfs/2025_TC_an_fpga_based_open_source_hardware_software_framework_for_side_channel_security.pdf,notes/paper_09.md,notes/2025_TC_an_fpga_based_open_source_hardware_software_framework_for_side_channel_security.md
04_TC,paper_10,SCARF: Securing Chips With a Robust Framework Against Fabrication-Time Hardware Trojans,pdfs/paper_10.pdf,pdfs/2024_TC_scarf_securing_chips_with_a_robust_framework_against_fabrication_time_hardware_t.pdf,notes/paper_10.md,notes/2024_TC_scarf_securing_chips_with_a_robust_framework_against_fabrication_time_hardware_t.md
05_TCAD,paper_01,A Triple-Memristor Hopfield Neural Network With Space Multistructure Attractors and Space Initial-Offset Behaviors,pdfs/paper_01.pdf,pdfs/2023_TCAD_a_triple_memristor_hopfield_neural_network_with_space_multistructure_attractors.pdf,notes/paper_01.md,notes/2023_TCAD_a_triple_memristor_hopfield_neural_network_with_space_multistructure_attractors.md
05_TCAD,paper_02,Diversified Butterfly Attractors of Memristive HNN With Two Memristive Systems and Application in IoMT for Privacy Protection,pdfs/paper_02.pdf,pdfs/2024_TCAD_diversified_butterfly_attractors_of_memristive_hnn_with_two_memristive_systems_a.pdf,notes/paper_02.md,notes/2024_TCAD_diversified_butterfly_attractors_of_memristive_hnn_with_two_memristive_systems_a.md
05_TCAD,paper_03,"Efficient <i>N:M</i> Sparse DNN Training Using Algorithm, Architecture, and Dataflow Co-Design",pdfs/paper_03.pdf,pdfs/2023_TCAD_efficient_n_m_sparse_dnn_training_using_algorithm_architecture_and_dataflow_co_d.pdf,notes/paper_03.md,notes/2023_TCAD_efficient_n_m_sparse_dnn_training_using_algorithm_architecture_and_dataflow_co_d.md
05_TCAD,paper_04,Spatz: Clustering Compact RISC-V-Based Vector Units to Maximize Computing Efficiency,pdfs/paper_04.pdf,pdfs/2025_TCAD_spatz_clustering_compact_risc_v_based_vector_units_to_maximize_computing_efficie.pdf,notes/paper_04.md,notes/2025_TCAD_spatz_clustering_compact_risc_v_based_vector_units_to_maximize_computing_efficie.md
05_TCAD,paper_05,Energy-Efficient Spintronic-Based Neuromorphic Computing System Using Current Mode Track and Termination Circuit,pdfs/paper_05.pdf,pdfs/2023_TCAD_energy_efficient_spintronic_based_neuromorphic_computing_system_using_current_mo.pdf,notes/paper_05.md,notes/2023_TCAD_energy_efficient_spintronic_based_neuromorphic_computing_system_using_current_mo.md
05_TCAD,paper_06,Bank on Compute-Near-Memory: Design Space Exploration of Processing-Near-Bank Architectures,pdfs/paper_06.pdf,pdfs/2024_TCAD_bank_on_compute_near_memory_design_space_exploration_of_processing_near_bank_arc.pdf,notes/paper_06.md,notes/2024_TCAD_bank_on_compute_near_memory_design_space_exploration_of_processing_near_bank_arc.md
05_TCAD,paper_07,CRAFT: Criticality-Aware Fault-Tolerance Enhancement Techniques for Emerging Memories-Based Deep Neural Networks,pdfs/paper_07.pdf,pdfs/2023_TCAD_craft_criticality_aware_fault_tolerance_enhancement_techniques_for_emerging_memo.pdf,notes/paper_07.md,notes/2023_TCAD_craft_criticality_aware_fault_tolerance_enhancement_techniques_for_emerging_memo.md
05_TCAD,paper_08,A Highly Reliable Dual-Mode RRAM PUF With Key Concealment Scheme,pdfs/paper_08.pdf,pdfs/2025_TCAD_a_highly_reliable_dual_mode_rram_puf_with_key_concealment_scheme.pdf,notes/paper_08.md,notes/2025_TCAD_a_highly_reliable_dual_mode_rram_puf_with_key_concealment_scheme.md
05_TCAD,paper_09,When Random Is Bad: Selective CRPs for Protecting PUFs Against Modeling Attacks,pdfs/paper_09.pdf,pdfs/2024_TCAD_when_random_is_bad_selective_crps_for_protecting_pufs_against_modeling_attacks.pdf,notes/paper_09.md,notes/2024_TCAD_when_random_is_bad_selective_crps_for_protecting_pufs_against_modeling_attacks.md
05_TCAD,paper_10,MAFIA: Protecting the Microarchitecture of Embedded Systems Against Fault Injection Attacks,pdfs/paper_10.pdf,pdfs/2023_TCAD_mafia_protecting_the_microarchitecture_of_embedded_systems_against_fault_injecti.pdf,notes/paper_10.md,notes/2023_TCAD_mafia_protecting_the_microarchitecture_of_embedded_systems_against_fault_injecti.md
06_TCHES_CHES,paper_01,BASALISC: Programmable Hardware Accelerator for BGV Fully Homomorphic Encryption,pdfs/paper_01.pdf,pdfs/2023_TCHES_CHES_basalisc_programmable_hardware_accelerator_for_bgv_fully_homomorphic_encryption.pdf,notes/paper_01.md,notes/2023_TCHES_CHES_basalisc_programmable_hardware_accelerator_for_bgv_fully_homomorphic_encryption.md
06_TCHES_CHES,paper_02,A Highly-efficient Lattice-based Post-Quantum Cryptography Processor for IoT Applications,pdfs/paper_02.pdf,pdfs/2024_TCHES_CHES_a_highly_efficient_lattice_based_post_quantum_cryptography_processor_for_iot_app.pdf,notes/paper_02.md,notes/2024_TCHES_CHES_a_highly_efficient_lattice_based_post_quantum_cryptography_processor_for_iot_app.md
06_TCHES_CHES,paper_03,Pushing the Limits of Generic Side-Channel Attacks on LWE-based KEMs - Parallel PC Oracle Attacks on Kyber KEM and Beyond,pdfs/paper_03.pdf,pdfs/2023_TCHES_CHES_pushing_the_limits_of_generic_side_channel_attacks_on_lwe_based_kems_parallel_pc.pdf,notes/paper_03.md,notes/2023_TCHES_CHES_pushing_the_limits_of_generic_side_channel_attacks_on_lwe_based_kems_parallel_pc.md
06_TCHES_CHES,paper_04,Exploiting Intermediate Value Leakage in Dilithium: A Template-Based Approach,pdfs/paper_04.pdf,pdfs/2023_TCHES_CHES_exploiting_intermediate_value_leakage_in_dilithium_a_template_based_approach.pdf,notes/paper_04.md,notes/2023_TCHES_CHES_exploiting_intermediate_value_leakage_in_dilithium_a_template_based_approach.md
06_TCHES_CHES,paper_05,HAETAE: Shorter Lattice-Based Fiat-Shamir Signatures,pdfs/paper_05.pdf,pdfs/2024_TCHES_CHES_haetae_shorter_lattice_based_fiat_shamir_signatures.pdf,notes/paper_05.md,notes/2024_TCHES_CHES_haetae_shorter_lattice_based_fiat_shamir_signatures.md
06_TCHES_CHES,paper_06,Protecting Dilithium against Leakage,pdfs/paper_06.pdf,pdfs/2023_TCHES_CHES_protecting_dilithium_against_leakage.pdf,notes/paper_06.md,notes/2023_TCHES_CHES_protecting_dilithium_against_leakage.md
06_TCHES_CHES,paper_07,Deep Learning Side-Channel Collision Attack,pdfs/paper_07.pdf,pdfs/2023_TCHES_CHES_deep_learning_side_channel_collision_attack.pdf,notes/paper_07.md,notes/2023_TCHES_CHES_deep_learning_side_channel_collision_attack.md
06_TCHES_CHES,paper_08,RDS: FPGA Routing Delay Sensors for Effective Remote Power Analysis Attacks,pdfs/paper_08.pdf,pdfs/2023_TCHES_CHES_rds_fpga_routing_delay_sensors_for_effective_remote_power_analysis_attacks.pdf,notes/paper_08.md,notes/2023_TCHES_CHES_rds_fpga_routing_delay_sensors_for_effective_remote_power_analysis_attacks.md
06_TCHES_CHES,paper_09,Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform,pdfs/paper_09.pdf,pdfs/2023_TCHES_CHES_fiddling_the_twiddle_constants_fault_injection_analysis_of_the_number_theoretic.pdf,notes/paper_09.md,notes/2023_TCHES_CHES_fiddling_the_twiddle_constants_fault_injection_analysis_of_the_number_theoretic.md
06_TCHES_CHES,paper_10,Conditional Variational AutoEncoder based on Stochastic Attacks,pdfs/paper_10.pdf,pdfs/2023_TCHES_CHES_conditional_variational_autoencoder_based_on_stochastic_attacks.pdf,notes/paper_10.md,notes/2023_TCHES_CHES_conditional_variational_autoencoder_based_on_stochastic_attacks.md
