id,title,authors,year,venue,topic,problem,method,platform,metrics,contribution_type,evidence_type,limitation,what_to_learn,paper_role,doi,source_url,local_pdf,note_path
paper_03,A 380 fW Leakage Data Retention Flip-Flop for Short Sleep Periods,Shima Sedighiani; Kamlesh Kumar Singh; Roel Jordans; Pieter Harpe; José Pineda de Gyvez,2023,TCAS-II,digital IC / FPGA related systems,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy,circuit,implementation-oriented evaluation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tcsii.2023.3238961,https://pure.tue.nl/ws/files/302804167/A_380_fW_Leakage_Data_Retention_Flip-Flop_for_Short_Sleep_Periods.pdf,02_TCASII\pdfs\paper_03.pdf,02_TCASII\notes\paper_03.md
paper_04,A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units,Yuqin Dou; Zhikuang Cai; Haroon Waris; Roger Woods; Weiqiang Liu,2025,TCAS-II,approximate / arithmetic computing,如何在误差、面积、延迟和能耗之间建立可控 tradeoff。,用架构图、关键模块和设计取舍把 proposed method 解释成可实现方案。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; error/quality metric,architecture,implementation-oriented evaluation,需要把适用边界、实验平台和 baseline 公平性写清。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表,https://doi.org/10.1109/tcsii.2025.3574662,https://pureadmin.qub.ac.uk/ws/files/640711321/A_Novel_Error_Metric_for_Evaluating_the_Error_Correction_Capability_of_Approximate_Units.pdf,02_TCASII\pdfs\paper_04.pdf,02_TCASII\notes\paper_04.md
paper_05,TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering,Prabhu Vellaisamy; Harideep Nair; Vamsikrishna Ratnakaram; Dhruv Gupta; John Paul Shen,2024,TCAS-II,AI / DNN / neuromorphic accelerator; measurement / sensor SoC,如何针对 DNN/neuromorphic workload 设计更高效的数据流、PE 阵列和存储层次。,围绕数据复用、PE 阵列、片上存储和量化/稀疏特性做协同设计。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,measurement,implementation-oriented evaluation,需要同时报告硬件指标和模型精度/任务质量，避免只优化单一指标。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tcsii.2024.3390002,https://arxiv.org/pdf/2412.17977,02_TCASII\pdfs\paper_05.pdf,02_TCASII\notes\paper_05.md
paper_06,A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications,Moonis Amir Zaman; Muhammad Bilal Khan; Wajahat Ahmad; Ayesha Khalid; Maire O'Neill,2025,TCAS-II,FPGA accelerator; cryptographic hardware / hardware security,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,FPGA,area/resource; frequency; latency; throughput; power/energy; security/leakage/fault metric,architecture; security,FPGA implementation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表; 适合模仿安全评估; 适合模仿 SOTA 对比,https://doi.org/10.1109/tcsii.2025.3633181,https://pureadmin.qub.ac.uk/ws/files/660584923/Compact_FHE_TCAS_II_CameraReady.pdf,02_TCASII\pdfs\paper_06.pdf,02_TCASII\notes\paper_06.md
paper_07,Design Automation of Analog and Mixed-Signal Circuits Using Neural Networks - A Tutorial Brief,G. Liñán; Nuno Lourenço; Nuno Horta; José M. de la Rosa,2023,TCAS-II,AI / DNN / neuromorphic accelerator; EDA / CAD / design automation,如何针对 DNN/neuromorphic workload 设计更高效的数据流、PE 阵列和存储层次。,定义输入约束、优化目标和搜索/学习/验证流程，输出可比较的设计结果。,EDA benchmark / toolflow,area/resource; frequency; latency; throughput; power/energy; runtime; QoR; ablation; accuracy or workload quality,circuit; EDA/tool,benchmark/tool evaluation,需要足够 benchmark、baseline 和消融，否则容易被认为只是 case study。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表; 适合模仿 related work; 适合模仿消融实验,https://doi.org/10.1109/tcsii.2023.3323886,https://idus.us.es/bitstream/11441/155820/1/10.1109TCSII.2023.3323886.pdf,02_TCASII\pdfs\paper_07.pdf,02_TCASII\notes\paper_07.md
paper_08,XNOR-Bitcount Operation Exploiting Computing-In-Memory With STT-MRAMs,Ariana Musello; Esteban Garzón; Marco Lanuzza; Luis Miguel Prócel; Ramiro Taco,2023,TCAS-II,CIM / memory / emerging devices,如何突破数据搬移、存储阵列感测或新型器件可靠性的瓶颈。,围绕 cell/array/sensing/peripheral circuit 设计存内或近存计算机制。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy,circuit; CIM/memory,implementation-oriented evaluation,需要说明器件/阵列规模、PVT/variation 和外围电路开销。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表,https://doi.org/10.1109/tcsii.2023.3241163,https://ieeexplore.ieee.org/ielx7/8920/10061496/10032604.pdf,02_TCASII\pdfs\paper_08.pdf,02_TCASII\notes\paper_08.md
paper_09,A Low-Complexity Sensing Scheme for Approximate Matching Content-Addressable Memory,Esteban Garzón; Roman Golman; Marco Lanuzza; Adam Teman; Leonid Yavits,2023,TCAS-II,CIM / memory / emerging devices; approximate / arithmetic computing,如何突破数据搬移、存储阵列感测或新型器件可靠性的瓶颈。,围绕 cell/array/sensing/peripheral circuit 设计存内或近存计算机制。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; error/quality metric,circuit; CIM/memory,implementation-oriented evaluation,需要说明器件/阵列规模、PVT/variation 和外围电路开销。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表,https://doi.org/10.1109/tcsii.2023.3286257,https://ieeexplore.ieee.org/ielx7/8920/4358609/10153337.pdf,02_TCASII\pdfs\paper_09.pdf,02_TCASII\notes\paper_09.md
paper_10,Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration,José Luis Imaña; Luís Piñuel; Yao-Ming Kuo; O. Ruano; Francisco García-Herrero,2024,TCAS-II,RISC-V / SoC / processor; approximate / arithmetic computing,如何通过处理器、SoC 或 ISA/微架构协同提升特定 workload 的性能、能效或安全性。,通过 ISA/微架构/SoC 集成和软件调用路径协同优化 workload。,RISC-V / SoC / processor platform,area/resource; frequency; latency; throughput; power/energy; error/quality metric,architecture,implementation-oriented evaluation,需要把适用边界、实验平台和 baseline 公平性写清。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tcsii.2024.3369103,https://ieeexplore.ieee.org/ielx7/8920/4358609/10444058.pdf,02_TCASII\pdfs\paper_10.pdf,02_TCASII\notes\paper_10.md
paper_01,ReLANCE: A Resource-Efficient Low-Latency Cortical Neural Acceleration Engine,Sonu Kumar; Arjun S. Nair; Bhawna Chaudhary; Mukul Lokhande; Santosh Kumar Vishvakarma,2026,TVLSI,CIM / memory / emerging devices; AI / DNN / neuromorphic accelerator,如何突破数据搬移、存储阵列感测或新型器件可靠性的瓶颈。,围绕 cell/array/sensing/peripheral circuit 设计存内或近存计算机制。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,CIM/memory,implementation-oriented evaluation,需要说明器件/阵列规模、PVT/variation 和外围电路开销。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2026.3680055,https://arxiv.org/pdf/2510.17392,03_TVLSI\pdfs\paper_01.pdf,03_TVLSI\notes\paper_01.md
paper_02,Unlimited Vector Processing for Wireless Baseband Based on RISC-V Extension,Limin Jiang; Yi Shi; Yihao Shen; Shan Cao; Zhiyuan Jiang; Sheng Zhou,2025,TVLSI,RISC-V / SoC / processor,如何通过处理器、SoC 或 ISA/微架构协同提升特定 workload 的性能、能效或安全性。,通过 ISA/微架构/SoC 集成和软件调用路径协同优化 workload。,RISC-V / SoC / processor platform,area/resource; frequency; latency; throughput; power/energy,architecture,implementation-oriented evaluation,需要把适用边界、实验平台和 baseline 公平性写清。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2025.3602401,https://arxiv.org/pdf/2504.10832,03_TVLSI\pdfs\paper_02.pdf,03_TVLSI\notes\paper_02.md
paper_03,A 66-Gb/s/5.5-W RISC-V Many-Core Cluster for 5G+ Software-Defined Radio Uplinks,Marco Bertuletti; Yichao Zhang; Alessandro Vanelli‐Coralli; Luca Benini,2025,TVLSI,RISC-V / SoC / processor,如何通过处理器、SoC 或 ISA/微架构协同提升特定 workload 的性能、能效或安全性。,通过 ISA/微架构/SoC 集成和软件调用路径协同优化 workload。,RISC-V / SoC / processor platform,area/resource; frequency; latency; throughput; power/energy,architecture,implementation-oriented evaluation,需要把适用边界、实验平台和 baseline 公平性写清。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2025.3576855,https://arxiv.org/pdf/2508.06176,03_TVLSI\pdfs\paper_03.pdf,03_TVLSI\notes\paper_03.md
paper_04,A Scalable FPGA Architecture With Adaptive Memory Utilization for GEMM-Based Operations,Αναστάσιος Πετρόπουλος; Theodore Antonakopoulos,2025,TVLSI,FPGA accelerator; CIM / memory / emerging devices; AI / DNN / neuromorphic accelerator,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,FPGA,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,architecture; CIM/memory,FPGA implementation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2025.3571677,https://arxiv.org/pdf/2510.08137,03_TVLSI\pdfs\paper_04.pdf,03_TVLSI\notes\paper_04.md
paper_05,Strassen Multisystolic Array Hardware Architectures,Trevor E. Pogue; Nicola Nicolici,2025,TVLSI,AI / DNN / neuromorphic accelerator,如何针对 DNN/neuromorphic workload 设计更高效的数据流、PE 阵列和存储层次。,围绕数据复用、PE 阵列、片上存储和量化/稀疏特性做协同设计。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,architecture,implementation-oriented evaluation,需要同时报告硬件指标和模型精度/任务质量，避免只优化单一指标。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2025.3530785,https://arxiv.org/pdf/2502.10063,03_TVLSI\pdfs\paper_05.pdf,03_TVLSI\notes\paper_05.md
paper_06,CapsBeam: Accelerating Capsule Network-Based Beamformer for Ultrasound Nonsteered Plane-Wave Imaging on Field-Programmable Gate Array,Abdul Rahoof; Vivek Chaturvedi; Mahesh Raveendranatha Panicker; Muhammad Shafique,2025,TVLSI,FPGA accelerator; AI / DNN / neuromorphic accelerator,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,accelerator,implementation-oriented evaluation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2025.3559403,https://arxiv.org/pdf/2509.03201,03_TVLSI\pdfs\paper_06.pdf,03_TVLSI\notes\paper_06.md
paper_07,SPEED: A Scalable RISC-V Vector Processor Enabling Efficient Multiprecision DNN Inference,Chuanning Wang; Chao Fang; Xiao Wu; Zhongfeng Wang; Jun Lin,2024,TVLSI,RISC-V / SoC / processor; AI / DNN / neuromorphic accelerator,如何通过处理器、SoC 或 ISA/微架构协同提升特定 workload 的性能、能效或安全性。,通过 ISA/微架构/SoC 集成和软件调用路径协同优化 workload。,RISC-V / SoC / processor platform,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,architecture,implementation-oriented evaluation,需要同时报告硬件指标和模型精度/任务质量，避免只优化单一指标。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2024.3466224,https://arxiv.org/pdf/2409.14017,03_TVLSI\pdfs\paper_07.pdf,03_TVLSI\notes\paper_07.md
paper_08,Detect and Replace: Efficient Soft Error Protection of FPGA-Based CNN Accelerators,Zhen Gao; Y. Qi; Jinchang Shi; Qiang Liu; Guangjun Ge; Yu Wang; Pedro Reviriego,2024,TVLSI,FPGA accelerator; AI / DNN / neuromorphic accelerator,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,FPGA,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,architecture,FPGA implementation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2024.3443834,https://oa.upm.es/83243/3/83243.pdf,03_TVLSI\pdfs\paper_08.pdf,03_TVLSI\notes\paper_08.md
paper_09,High-Throughput Bilinear Pairing Processor for Server-Side FPGA Applications,Junichi Sakamoto; Daisuke Fujimoto; Riku Anzai; N. Yoshida; Tsutomu Matsumoto,2024,TVLSI,FPGA accelerator; RISC-V / SoC / processor,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,FPGA,area/resource; frequency; latency; throughput; power/energy,architecture,FPGA implementation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2024.3402164,https://ieeexplore.ieee.org/ielx7/92/4359553/10539134.pdf,03_TVLSI\pdfs\paper_09.pdf,03_TVLSI\notes\paper_09.md
paper_10,An Energy Efficient Soft SIMD Microarchitecture and Its Application on Quantized CNNs,Pengbo Yu; Flavio Ponzina; Alexandre Levisse; Mohit Gupta; Dwaipayan Biswas; Giovanni Ansaloni; David Atienza; Francky Catthoor,2024,TVLSI,RISC-V / SoC / processor; AI / DNN / neuromorphic accelerator,如何通过处理器、SoC 或 ISA/微架构协同提升特定 workload 的性能、能效或安全性。,通过 ISA/微架构/SoC 集成和软件调用路径协同优化 workload。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,architecture,implementation-oriented evaluation,需要同时报告硬件指标和模型精度/任务质量，避免只优化单一指标。,学习如何把微架构、数据流、存储层次和实现指标连起来讲。,适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tvlsi.2024.3375793,https://lirias.kuleuven.be/retrieve/457fd8c4-83d4-4b7a-9f05-d181ec08622e,03_TVLSI\pdfs\paper_10.pdf,03_TVLSI\notes\paper_10.md
